"id","code","name","miningSiteId","startPoint","endPoint","distance","roadCondition","maxSpeed","gradient","isActive","lastMaintenance","createdAt","updatedAt"
"cmhsbjn9w02sqmaftbab849fw","ROAD-0013","Road Segment 13","cmhsbjl1g00h1maft4q16yppp","Point-M","Point-N",3.397814681945731,"GOOD",37,-1.459035484302,true,,"2025-11-09T23:02:35.157Z","2025-11-09T23:02:35.157Z"
"cmhsbjn9y02ssmafth9l5bsux","ROAD-0014","Road Segment 14","cmhsbjl1h00h2mafturga9u4d","Point-N","Point-O",4.698432088484785,"GOOD",36,-1.289949160937742,true,"2025-10-27T23:02:35.118Z","2025-11-09T23:02:35.159Z","2025-11-09T23:02:35.159Z"
"cmhsbjna002sumaft8a7qd4ys","ROAD-0015","Road Segment 15","cmhsbjl1j00h3mafttffh0qnq","Point-O","Point-P",3.588128663249524,"POOR",21,8.607554680552989,true,"2025-11-08T23:02:35.118Z","2025-11-09T23:02:35.160Z","2025-11-09T23:02:35.160Z"
"cmhsbjna202swmaftklcg6h4z","ROAD-0016","Road Segment 16","cmhsbjl1k00h4maftgx0bbbu9","Point-P","Point-Q",2.112019299292886,"POOR",25,7.122857205949257,true,"2025-10-05T23:02:35.118Z","2025-11-09T23:02:35.162Z","2025-11-09T23:02:35.162Z"
"cmhsbjna302symaft6w7vr5tb","ROAD-0017","Road Segment 17","cmhsbjl1m00h5maftuweaz7e1","Point-Q","Point-R",2.896069229294024,"FAIR",31,-1.914131090841672,true,"2025-11-06T23:02:35.118Z","2025-11-09T23:02:35.164Z","2025-11-09T23:02:35.164Z"
"cmhsbjna602t0mafth4szrmhm","ROAD-0018","Road Segment 18","cmhsbjl1o00h6maft2ml9nlyo","Point-R","Point-S",3.272148863662817,"POOR",33,-2.839470366062078,true,,"2025-11-09T23:02:35.166Z","2025-11-09T23:02:35.166Z"
"cmhsbjna802t2maftry717cxc","ROAD-0019","Road Segment 19","cmhsbjl1p00h7maftta3pqqc4","Point-S","Point-T",0.9859872125633019,"FAIR",33,-2.384413911360724,true,,"2025-11-09T23:02:35.168Z","2025-11-09T23:02:35.168Z"
"cmhsbjna902t4maftrwt37zq6","ROAD-0020","Road Segment 20","cmhsbjl1r00h8maftw8zqvyqt","Point-T","Point-U",4.036277324435208,"FAIR",35,-0.01585049708623387,true,,"2025-11-09T23:02:35.170Z","2025-11-09T23:02:35.170Z"
"cmhsbjnab02t6maftequlspt4","ROAD-0021","Road Segment 21","cmhsbjl1s00h9maft2ncfpqeo","Point-U","Point-V",1.122249720067401,"EXCELLENT",27,-2.166789034115993,true,"2025-09-16T23:02:35.118Z","2025-11-09T23:02:35.172Z","2025-11-09T23:02:35.172Z"
"cmhsbjnae02t8maftle12q733","ROAD-0022","Road Segment 22","cmhsbjl1t00hamaftvtke5hml","Point-V","Point-W",2.267061360985357,"FAIR",35,9.679985454073861,true,"2025-09-12T23:02:35.118Z","2025-11-09T23:02:35.174Z","2025-11-09T23:02:35.174Z"
"cmhsbjnah02tamaftmibees08","ROAD-0023","Road Segment 23","cmhsbjl1u00hbmafttu8nqeo1","Point-W","Point-X",3.143637658825948,"FAIR",47,2.070930932634863,true,"2025-10-20T23:02:35.118Z","2025-11-09T23:02:35.177Z","2025-11-09T23:02:35.177Z"
"cmhsbjnak02tcmaftyloobqic","ROAD-0024","Road Segment 24","cmhsbjl1w00hcmaftnzwtim5i","Point-X","Point-Y",3.149952569167942,"EXCELLENT",48,-1.494803518114671,true,,"2025-11-09T23:02:35.180Z","2025-11-09T23:02:35.180Z"
"cmhsbjnam02temaftieidj8ei","ROAD-0025","Road Segment 25","cmhsbjl1x00hdmaftit8j0b6e","Point-Y","Point-Z",1.777361835195072,"FAIR",46,1.068222711783276,true,,"2025-11-09T23:02:35.183Z","2025-11-09T23:02:35.183Z"
"cmhsbjnap02tgmaftdwwa98ho","ROAD-0026","Road Segment 26","cmhsbjl1y00hemaft0nw7bpxx","Point-Z","Point-[",3.526285164125261,"POOR",44,0.6464942007276653,true,,"2025-11-09T23:02:35.185Z","2025-11-09T23:02:35.185Z"
"cmhsbjnar02timaftv59v4pfr","ROAD-0027","Road Segment 27","cmhsbjl1z00hfmaftf8e0vzsv","Point-A","Point-B",3.117108177078898,"FAIR",33,2.631881464595853,true,,"2025-11-09T23:02:35.188Z","2025-11-09T23:02:35.188Z"
"cmhsbjnau02tkmaftzkjt7zj0","ROAD-0028","Road Segment 28","cmhsbjl2000hgmaftuyyvbplz","Point-B","Point-C",4.610900425083666,"GOOD",30,-0.8505540781921681,true,,"2025-11-09T23:02:35.190Z","2025-11-09T23:02:35.190Z"
"cmhsbjnaw02tmmaft0jopypna","ROAD-0029","Road Segment 29","cmhsbjl2200hhmafto7si618y","Point-C","Point-D",3.599448524523031,"EXCELLENT",33,5.540857472602926,true,"2025-09-21T23:02:35.118Z","2025-11-09T23:02:35.193Z","2025-11-09T23:02:35.193Z"
"cmhsbjnay02tomafthztk41ch","ROAD-0030","Road Segment 30","cmhsbjl2400himaft23pz9wmy","Point-D","Point-E",3.907032460607,"POOR",39,9.567841989149201,true,"2025-10-20T23:02:35.118Z","2025-11-09T23:02:35.194Z","2025-11-09T23:02:35.194Z"
"cmhsbjnb002tqmaftk9yqw4v9","ROAD-0031","Road Segment 31","cmhsbjl2500hjmaftizhi15f3","Point-E","Point-F",2.337048498268361,"GOOD",26,8.670274560749816,true,"2025-10-04T23:02:35.118Z","2025-11-09T23:02:35.196Z","2025-11-09T23:02:35.196Z"
"cmhsbjnb302tsmaftjsuu1n35","ROAD-0032","Road Segment 32","cmhsbjl2600hkmaft3cks290d","Point-F","Point-G",4.756868267802554,"POOR",22,-4.223734847650635,true,,"2025-11-09T23:02:35.199Z","2025-11-09T23:02:35.199Z"
"cmhsbjnb502tumaftdgtkxqka","ROAD-0033","Road Segment 33","cmhsbjl2800hlmaftl8wpjsk4","Point-G","Point-H",2.964670263223366,"EXCELLENT",43,1.279170608994566,true,"2025-10-11T23:02:35.118Z","2025-11-09T23:02:35.201Z","2025-11-09T23:02:35.201Z"
"cmhsbjnb702twmaftpgpoyrd9","ROAD-0034","Road Segment 34","cmhsbjl2900hmmaft5tvulgd7","Point-H","Point-I",4.670478690384398,"FAIR",21,2.352100974341058,true,"2025-09-26T23:02:35.118Z","2025-11-09T23:02:35.203Z","2025-11-09T23:02:35.203Z"
"cmhsbjnb802tymaftazpfdz0q","ROAD-0035","Road Segment 35","cmhsbjl2a00hnmaftx7mxdfl3","Point-I","Point-J",4.013969276008792,"GOOD",25,9.055382642928953,true,"2025-11-07T23:02:35.118Z","2025-11-09T23:02:35.205Z","2025-11-09T23:02:35.205Z"
"cmhsbjnba02u0maft5k3ga4ge","ROAD-0036","Road Segment 36","cmhsbjl2b00homaftdt3vozy6","Point-J","Point-K",1.050526460593549,"FAIR",23,3.856942168784235,true,,"2025-11-09T23:02:35.206Z","2025-11-09T23:02:35.206Z"
"cmhsbjnbc02u2maftuoc7tk3a","ROAD-0037","Road Segment 37","cmhsbjl2d00hpmaftrfxh0cw7","Point-K","Point-L",2.165613860601762,"GOOD",36,-1.830571474697134,true,"2025-09-17T23:02:35.118Z","2025-11-09T23:02:35.208Z","2025-11-09T23:02:35.208Z"
"cmhsbjnbd02u4maft9dhzzc91","ROAD-0038","Road Segment 38","cmhsbjl2e00hqmaftqxq2d69e","Point-L","Point-M",3.259189812270963,"GOOD",30,-0.371246690675914,true,"2025-11-02T23:02:35.118Z","2025-11-09T23:02:35.210Z","2025-11-09T23:02:35.210Z"
"cmhsbjnbf02u6maftuxqqpj7o","ROAD-0039","Road Segment 39","cmhsbjl2f00hrmaft4wjfbezz","Point-M","Point-N",4.667634221487258,"FAIR",47,1.586477287252292,true,"2025-10-20T23:02:35.118Z","2025-11-09T23:02:35.211Z","2025-11-09T23:02:35.211Z"
"cmhsbjnbg02u8maftbgktm7xx","ROAD-0040","Road Segment 40","cmhsbjl2g00hsmaftlzw9ls0z","Point-N","Point-O",2.452053219574278,"EXCELLENT",33,0.8850455604730589,true,,"2025-11-09T23:02:35.213Z","2025-11-09T23:02:35.213Z"
"cmhsbjnbi02uamaftsagbyz37","ROAD-0041","Road Segment 41","cmhsbjl2i00htmaftrcw9wtbd","Point-O","Point-P",3.037568643793861,"FAIR",21,5.268186602993655,true,"2025-09-25T23:02:35.118Z","2025-11-09T23:02:35.214Z","2025-11-09T23:02:35.214Z"
"cmhsbjnbl02ucmaftx7h9r4pe","ROAD-0042","Road Segment 42","cmhsbjl2k00humaftn19lyqkd","Point-P","Point-Q",3.75368903063788,"FAIR",39,0.2796178588122613,false,"2025-09-25T23:02:35.118Z","2025-11-09T23:02:35.217Z","2025-11-09T23:02:35.217Z"
"cmhsbjnbm02uemaftji0rcz0g","ROAD-0043","Road Segment 43","cmhsbjl2l00hvmaftjdyi4orc","Point-Q","Point-R",2.667800722880298,"FAIR",35,5.500443353915266,true,,"2025-11-09T23:02:35.219Z","2025-11-09T23:02:35.219Z"
"cmhsbjnbo02ugmaftsr8pnz1l","ROAD-0044","Road Segment 44","cmhsbjl2n00hwmaftu9hs30uu","Point-R","Point-S",4.918944512018562,"GOOD",42,-1.234352508652403,true,"2025-10-22T23:02:35.118Z","2025-11-09T23:02:35.220Z","2025-11-09T23:02:35.220Z"
"cmhsbjnbq02uimaftysbm4x33","ROAD-0045","Road Segment 45","cmhsbjl2o00hxmaftr7fl5ehh","Point-S","Point-T",1.395656939800224,"GOOD",31,0.1604170953958732,true,"2025-09-15T23:02:35.118Z","2025-11-09T23:02:35.222Z","2025-11-09T23:02:35.222Z"
"cmhsbjnbr02ukmaftt0p7zagc","ROAD-0046","Road Segment 46","cmhsbjl2p00hymaft49un52lz","Point-T","Point-U",1.501378988168667,"FAIR",37,9.68266055020376,true,"2025-09-28T23:02:35.118Z","2025-11-09T23:02:35.224Z","2025-11-09T23:02:35.224Z"
"cmhsbjnbt02ummaftc2vsn570","ROAD-0047","Road Segment 47","cmhsbjl2q00hzmaftlmv8pa8l","Point-U","Point-V",2.681924053288768,"FAIR",32,3.278821379621853,true,"2025-10-11T23:02:35.118Z","2025-11-09T23:02:35.225Z","2025-11-09T23:02:35.225Z"
"cmhsbjnbu02uomaft2u4o3i2e","ROAD-0048","Road Segment 48","cmhsbjl2r00i0maftcw0vgfxa","Point-V","Point-W",1.687653499852062,"GOOD",30,4.757954557706519,true,,"2025-11-09T23:02:35.227Z","2025-11-09T23:02:35.227Z"
"cmhsbjnbw02uqmaftez6fd73o","ROAD-0049","Road Segment 49","cmhsbjl2t00i1maft001104sc","Point-W","Point-X",2.684361651593333,"GOOD",21,7.655096049058391,true,,"2025-11-09T23:02:35.228Z","2025-11-09T23:02:35.228Z"
"cmhsbjnbx02usmafthn3g6aok","ROAD-0050","Road Segment 50","cmhsbjl2u00i2maftdw8va1bo","Point-X","Point-Y",1.172850899637534,"GOOD",40,-3.402399527789971,true,,"2025-11-09T23:02:35.230Z","2025-11-09T23:02:35.230Z"
"cmhsbjnbz02uumaft8ismoiir","ROAD-0051","Road Segment 51","cmhsbjl2v00i3maftsz4azgz4","Point-Y","Point-Z",4.877828228486401,"POOR",25,3.170549160561354,true,"2025-10-19T23:02:35.118Z","2025-11-09T23:02:35.231Z","2025-11-09T23:02:35.231Z"
"cmhsbjnc102uwmaftv7tk4rz6","ROAD-0052","Road Segment 52","cmhsbjl2w00i4maftsoqgx6fz","Point-Z","Point-[",3.170048736634054,"FAIR",30,2.414703078871502,true,"2025-09-12T23:02:35.118Z","2025-11-09T23:02:35.233Z","2025-11-09T23:02:35.233Z"
"cmhsbjnc302uymaftq3jpnp2k","ROAD-0053","Road Segment 53","cmhsbjl2y00i5maft5id1amrm","Point-A","Point-B",4.328187452563648,"FAIR",47,0.4919859705536966,true,"2025-10-30T23:02:35.118Z","2025-11-09T23:02:35.235Z","2025-11-09T23:02:35.235Z"
"cmhsbjnc402v0maft7hquxfsl","ROAD-0054","Road Segment 54","cmhsbjl3000i6maftbwryncan","Point-B","Point-C",4.928095521466506,"EXCELLENT",37,8.245487239408472,true,,"2025-11-09T23:02:35.237Z","2025-11-09T23:02:35.237Z"
"cmhsbjnc602v2mafth6gize64","ROAD-0055","Road Segment 55","cmhsbjl3100i7maft7uyztqkh","Point-C","Point-D",2.078770672373156,"FAIR",44,7.352051106783668,true,"2025-10-25T23:02:35.118Z","2025-11-09T23:02:35.238Z","2025-11-09T23:02:35.238Z"
"cmhsbjnc702v4maftqjrdhtye","ROAD-0056","Road Segment 56","cmhsbjl3300i8maftishys3p6","Point-D","Point-E",4.251896186673776,"EXCELLENT",45,6.11741725359432,true,,"2025-11-09T23:02:35.240Z","2025-11-09T23:02:35.240Z"
"cmhsbjnc902v6maftqx101f7f","ROAD-0057","Road Segment 57","cmhsbjl3400i9maftjjbg1dsl","Point-E","Point-F",1.347807278900148,"POOR",46,-0.9018738273410847,true,"2025-09-12T23:02:35.118Z","2025-11-09T23:02:35.241Z","2025-11-09T23:02:35.241Z"
"cmhsbjncb02v8mafto64kf8vv","ROAD-0058","Road Segment 58","cmhsbjl3500iamaftqxgvv7l8","Point-F","Point-G",1.251585062309437,"FAIR",24,9.380789615802358,true,,"2025-11-09T23:02:35.243Z","2025-11-09T23:02:35.243Z"
"cmhsbjncc02vamaft4mlcznta","ROAD-0059","Road Segment 59","cmhsbjl3700ibmaftb86h7a76","Point-G","Point-H",0.9125084378011883,"POOR",33,4.77035573748543,true,,"2025-11-09T23:02:35.245Z","2025-11-09T23:02:35.245Z"
"cmhsbjnce02vcmaftbqup3h8x","ROAD-0060","Road Segment 60","cmhsbjl3800icmaftlsor3x6j","Point-H","Point-I",2.248343594539303,"GOOD",22,-4.630614495030354,true,"2025-11-08T23:02:35.118Z","2025-11-09T23:02:35.246Z","2025-11-09T23:02:35.246Z"
"cmhsbjncg02vemafth4coaucs","ROAD-0061","Road Segment 61","cmhsbjl3900idmafteoxtif44","Point-I","Point-J",3.981193652649303,"POOR",21,3.246157455777901,true,"2025-10-08T23:02:35.118Z","2025-11-09T23:02:35.248Z","2025-11-09T23:02:35.248Z"
"cmhsbjnci02vgmaftwuxnatcx","ROAD-0062","Road Segment 62","cmhsbjl3b00iemaftu8rr1tap","Point-J","Point-K",2.480636754182346,"GOOD",27,-3.711321403547235,true,,"2025-11-09T23:02:35.250Z","2025-11-09T23:02:35.250Z"
"cmhsbjncj02vimaftodoq5sow","ROAD-0063","Road Segment 63","cmhsbjl3c00ifmaft6rjglx24","Point-K","Point-L",2.449408667113786,"GOOD",24,-0.2113395231571165,true,"2025-11-02T23:02:35.118Z","2025-11-09T23:02:35.252Z","2025-11-09T23:02:35.252Z"
"cmhsbjncl02vkmaft463ruu5o","ROAD-0064","Road Segment 64","cmhsbjl3d00igmaftxlsltfml","Point-L","Point-M",2.658627177315611,"EXCELLENT",23,1.893642432270118,true,"2025-10-02T23:02:35.118Z","2025-11-09T23:02:35.254Z","2025-11-09T23:02:35.254Z"
"cmhsbjncn02vmmaft3t8jbg4b","ROAD-0065","Road Segment 65","cmhsbjl3e00ihmaft7snl85il","Point-M","Point-N",1.904537175995709,"GOOD",47,5.15616684700049,true,,"2025-11-09T23:02:35.256Z","2025-11-09T23:02:35.256Z"
"cmhsbjncp02vomaft99lqaogc","ROAD-0066","Road Segment 66","cmhsbjl3g00iimaftfveuak2b","Point-N","Point-O",2.181576733907092,"POOR",24,3.723984045979327,true,"2025-10-04T23:02:35.118Z","2025-11-09T23:02:35.257Z","2025-11-09T23:02:35.257Z"
"cmhsbjncq02vqmaft0dr7hlyg","ROAD-0067","Road Segment 67","cmhsbjl3i00ijmaftkvud67nj","Point-O","Point-P",1.297016503652968,"GOOD",23,9.12005396162801,true,"2025-10-18T23:02:35.118Z","2025-11-09T23:02:35.259Z","2025-11-09T23:02:35.259Z"
"cmhsbjncs02vsmaft5z8mhxe7","ROAD-0068","Road Segment 68","cmhsbjl3j00ikmaft04h29kj3","Point-P","Point-Q",3.338013533967657,"POOR",32,-2.629709155527578,true,"2025-10-31T23:02:35.118Z","2025-11-09T23:02:35.261Z","2025-11-09T23:02:35.261Z"
"cmhsbjncu02vumaftstgom9pm","ROAD-0069","Road Segment 69","cmhsbjl3k00ilmaft2pdcjss9","Point-Q","Point-R",3.714569243186409,"GOOD",36,7.121310450596937,true,"2025-10-03T23:02:35.118Z","2025-11-09T23:02:35.262Z","2025-11-09T23:02:35.262Z"
"cmhsbjncv02vwmaftc0j7i39o","ROAD-0070","Road Segment 70","cmhsbjl3l00immaftc5f42f80","Point-R","Point-S",4.87676683607537,"POOR",30,-0.8747197564581324,true,"2025-10-13T23:02:35.118Z","2025-11-09T23:02:35.264Z","2025-11-09T23:02:35.264Z"
"cmhsbjncx02vymaftz3i7t7si","ROAD-0071","Road Segment 71","cmhsbjl3n00inmaft1q84p8k4","Point-S","Point-T",4.921871744909621,"POOR",45,-1.406862412475722,true,"2025-10-23T23:02:35.118Z","2025-11-09T23:02:35.266Z","2025-11-09T23:02:35.266Z"
"cmhsbjncz02w0maftauinqauh","ROAD-0072","Road Segment 72","cmhsbjl3o00iomafti6ytkd5z","Point-T","Point-U",0.9573874101315701,"FAIR",26,2.211501332567582,true,"2025-11-04T23:02:35.118Z","2025-11-09T23:02:35.268Z","2025-11-09T23:02:35.268Z"
"cmhsbjnd102w2mafttw7m1e66","ROAD-0073","Road Segment 73","cmhsbjl3q00ipmaft6kprge3p","Point-U","Point-V",0.7925483490055819,"EXCELLENT",33,1.430998540226249,true,"2025-09-17T23:02:35.118Z","2025-11-09T23:02:35.269Z","2025-11-09T23:02:35.269Z"
"cmhsbjnd202w4maft89ididta","ROAD-0074","Road Segment 74","cmhsbjl3r00iqmaft9rpm9lx2","Point-V","Point-W",2.569356923084376,"POOR",20,-1.513913505248113,true,"2025-10-09T23:02:35.118Z","2025-11-09T23:02:35.271Z","2025-11-09T23:02:35.271Z"
"cmhsbjnd402w6mafttc1cgocr","ROAD-0075","Road Segment 75","cmhsbjl3s00irmaftggwuqseh","Point-W","Point-X",3.154867504282349,"EXCELLENT",43,-2.21203686568804,true,"2025-09-22T23:02:35.118Z","2025-11-09T23:02:35.272Z","2025-11-09T23:02:35.272Z"
"cmhsbjnd502w8maftukhjg2ks","ROAD-0076","Road Segment 76","cmhsbjl3u00ismaftxvnwktgn","Point-X","Point-Y",4.878986766839545,"FAIR",45,-4.566384373982654,true,,"2025-11-09T23:02:35.274Z","2025-11-09T23:02:35.274Z"
"cmhsbjnd702wamaftal4l4day","ROAD-0077","Road Segment 77","cmhsbjl3v00itmaft6cjod7he","Point-Y","Point-Z",1.640248597609369,"EXCELLENT",21,-0.5683336189861485,true,"2025-09-21T23:02:35.118Z","2025-11-09T23:02:35.275Z","2025-11-09T23:02:35.275Z"
"cmhsbjnd802wcmaft2vk0exwu","ROAD-0078","Road Segment 78","cmhsbjl3x00iumaftzu1nhjrx","Point-Z","Point-[",1.16794152475619,"POOR",20,-1.146483335490452,true,"2025-10-19T23:02:35.118Z","2025-11-09T23:02:35.277Z","2025-11-09T23:02:35.277Z"
"cmhsbjnda02wemaftr1iw6esi","ROAD-0079","Road Segment 79","cmhsbjl3y00ivmaftsp6sevb6","Point-A","Point-B",2.162640956250514,"EXCELLENT",39,-4.160707147993391,true,"2025-10-25T23:02:35.118Z","2025-11-09T23:02:35.278Z","2025-11-09T23:02:35.278Z"
"cmhsbjndb02wgmaftmj6nblj1","ROAD-0080","Road Segment 80","cmhsbjl4000iwmaftjjiyagxu","Point-B","Point-C",2.580403252848814,"GOOD",46,-0.8195610540259395,true,"2025-09-28T23:02:35.118Z","2025-11-09T23:02:35.279Z","2025-11-09T23:02:35.279Z"
"cmhsbjndc02wimaft8jhyjjs5","ROAD-0081","Road Segment 81","cmhsbjl4100ixmaft085lykai","Point-C","Point-D",1.376997675674378,"EXCELLENT",35,9.822908750661597,true,"2025-10-20T23:02:35.118Z","2025-11-09T23:02:35.281Z","2025-11-09T23:02:35.281Z"
"cmhsbjnde02wkmaftycae8k8b","ROAD-0082","Road Segment 82","cmhsbjl4200iymaftykykq35s","Point-D","Point-E",0.9388081544159954,"EXCELLENT",37,-0.9127517190995516,true,,"2025-11-09T23:02:35.283Z","2025-11-09T23:02:35.283Z"
"cmhsbjndg02wmmaftk4s6j1uw","ROAD-0083","Road Segment 83","cmhsbjl4400izmaft6iu8qarx","Point-E","Point-F",1.78887443210738,"GOOD",29,8.929905805157945,false,"2025-10-05T23:02:35.118Z","2025-11-09T23:02:35.285Z","2025-11-09T23:02:35.285Z"
"cmhsbjndi02womaftnet5lmih","ROAD-0084","Road Segment 84","cmhsbjl4500j0maft76erb45n","Point-F","Point-G",2.831357728722076,"EXCELLENT",41,0.739097445227098,true,,"2025-11-09T23:02:35.286Z","2025-11-09T23:02:35.286Z"
"cmhsbjndj02wqmaftmb2a045l","ROAD-0085","Road Segment 85","cmhsbjl4600j1maftgmfajs6c","Point-G","Point-H",3.47065244042635,"POOR",23,-0.1260548302297506,true,,"2025-11-09T23:02:35.288Z","2025-11-09T23:02:35.288Z"
"cmhsbjndl02wsmaft6bcz0mdg","ROAD-0086","Road Segment 86","cmhsbjl4800j2maftcmlyk4wp","Point-H","Point-I",3.986410556720725,"FAIR",33,2.465465025032215,true,"2025-10-20T23:02:35.118Z","2025-11-09T23:02:35.289Z","2025-11-09T23:02:35.289Z"
"cmhsbjndm02wumafttltlr9ly","ROAD-0087","Road Segment 87","cmhsbjl4900j3maft3mo40f2f","Point-I","Point-J",4.277027957949111,"GOOD",46,-1.210909747486898,true,"2025-10-14T23:02:35.118Z","2025-11-09T23:02:35.291Z","2025-11-09T23:02:35.291Z"
"cmhsbjndo02wwmaftfg539mu3","ROAD-0088","Road Segment 88","cmhsbjl4a00j4maftmdl364la","Point-J","Point-K",2.917090388328133,"FAIR",21,2.890037947918485,true,,"2025-11-09T23:02:35.292Z","2025-11-09T23:02:35.292Z"
"cmhsbjndp02wymaftxut3i3zd","ROAD-0089","Road Segment 89","cmhsbjl4b00j5maftbgz3brhc","Point-K","Point-L",2.548649993193407,"FAIR",28,-0.5181832103081954,true,"2025-10-29T23:02:35.119Z","2025-11-09T23:02:35.293Z","2025-11-09T23:02:35.293Z"
"cmhsbjndr02x0maftdu1krgq2","ROAD-0090","Road Segment 90","cmhsbjl4d00j6maftniawunvz","Point-L","Point-M",3.434664503289714,"EXCELLENT",33,-1.827189458027879,true,"2025-10-04T23:02:35.119Z","2025-11-09T23:02:35.295Z","2025-11-09T23:02:35.295Z"
"cmhsbjnds02x2maftt8a35uzg","ROAD-0091","Road Segment 91","cmhsbjl4f00j7maftdpdqp7p4","Point-M","Point-N",1.662860071601045,"EXCELLENT",36,-4.930406337554992,true,"2025-10-16T23:02:35.119Z","2025-11-09T23:02:35.297Z","2025-11-09T23:02:35.297Z"
"cmhsbjndu02x4maftyza4py6y","ROAD-0092","Road Segment 92","cmhsbjl4g00j8maftdvcr4h8m","Point-N","Point-O",0.6130253403867149,"GOOD",39,8.898250853862496,true,,"2025-11-09T23:02:35.299Z","2025-11-09T23:02:35.299Z"
"cmhsbjndx02x6maftena47wft","ROAD-0093","Road Segment 93","cmhsbjl4i00j9maftl4lz11b0","Point-O","Point-P",1.124512535736885,"EXCELLENT",41,-0.9999055678152526,true,"2025-11-08T23:02:35.119Z","2025-11-09T23:02:35.301Z","2025-11-09T23:02:35.301Z"
"cmhsbjndz02x8maft0zi3mttl","ROAD-0094","Road Segment 94","cmhsbjl4k00jamaftk95fuwf9","Point-P","Point-Q",1.511123053626846,"GOOD",47,-1.881998956810436,true,"2025-09-28T23:02:35.119Z","2025-11-09T23:02:35.303Z","2025-11-09T23:02:35.303Z"
"cmhsbjne102xamaftfyvew372","ROAD-0095","Road Segment 95","cmhsbjl4l00jbmaftelis0klo","Point-Q","Point-R",3.499717094584937,"FAIR",47,-2.916226789912616,true,"2025-09-23T23:02:35.119Z","2025-11-09T23:02:35.305Z","2025-11-09T23:02:35.305Z"
