"id","incidentNumber","incidentDate","reportDate","location","miningSiteCode","truckId","excavatorId","reportedById","operatorId","incidentType","severity","description","rootCause","injuries","fatalities","equipmentDamage","productionLoss","estimatedCost","downtimeHours","status","actionTaken","preventiveMeasure","photos","documents","remarks","createdAt","updatedAt"
"cmhsbjynd0e6ymaftoi3u5fvd","INC-000011","2025-09-19T23:02:49.871Z","2025-09-20T13:52:21.034Z","Location-49","SITE-0541","cmhsbjoqg04gmmafty480sn4s",,"cmhsbjkdz0008maft3coo45ec","cmhsbjo3n03pymaftlgcy64ds","NEAR_MISS","HIGH","Incident 11 - SPILL","Root cause analysis completed",0,0,"Equipment damage reported",2034.393390683884,86235978.90002546,4.593181983160633,"INVESTIGATING","Corrective action implemented",,,,,"2025-11-09T23:02:49.898Z","2025-11-09T23:02:49.898Z"
"cmhsbjyng0e70maft9iznxtzk","INC-000012","2025-06-24T23:02:49.871Z","2025-06-25T05:45:50.951Z","Location-27","SITE-0387",,,"cmhsbjkdq0002maftd9q9pi93",,"COLLISION","LOW","Incident 12 - SAFETY_VIOLATION","Root cause analysis completed",0,0,,,5976216.536452645,0,"INVESTIGATING","Corrective action implemented",,,,,"2025-11-09T23:02:49.900Z","2025-11-09T23:02:49.900Z"
"cmhsbjyni0e72maftgk7wkhkg","INC-000013","2025-06-02T23:02:49.871Z","2025-06-03T11:26:55.313Z","Location-20","SITE-0562","cmhsbjoqk04gqmaftjmlfgz3x",,"cmhsbjkfo001gmaft5x1mibe6","cmhsbjo3q03q2maftr5wkkdh4","COLLISION","HIGH","Incident 13 - SAFETY_VIOLATION","Root cause analysis completed",1,0,"Equipment damage reported",2837.224406199922,52620540.85870931,10.84595741720218,"CLOSED","Corrective action implemented","Preventive measures documented",,,,"2025-11-09T23:02:49.902Z","2025-11-09T23:02:49.902Z"
"cmhsbjynk0e74maftj6t9hlfe","INC-000014","2025-06-23T23:02:49.871Z","2025-06-24T20:28:02.108Z","Location-31","SITE-0106",,,"cmhsbjkdz0008maft3coo45ec",,"COLLISION","MEDIUM","Incident 14 - COLLISION",,0,0,"Equipment damage reported",1090.91600748421,42820498.23719971,13.9593127503263,"REPORTED",,,,,,"2025-11-09T23:02:49.904Z","2025-11-09T23:02:49.904Z"
"cmhsbjynl0e76maftgdmu5izp","INC-000015","2025-06-16T23:02:49.871Z","2025-06-17T20:56:16.756Z","Location-43","SITE-0130","cmhsbjoqn04gumaftn0m1wlrl",,"cmhsbjkdz0008maft3coo45ec","cmhsbjo3v03q6maft6jvqiydt","ACCIDENT","HIGH","Incident 15 - SAFETY_VIOLATION",,1,0,"Equipment damage reported",3204.097609243659,141753421.1262219,12.55749129384401,"REPORTED",,,,,,"2025-11-09T23:02:49.906Z","2025-11-09T23:02:49.906Z"
"cmhsbjynn0e78maftxs9g90vb","INC-000016","2025-06-16T23:02:49.871Z","2025-06-17T06:59:56.641Z","Location-21","SITE-0293","cmhsbjoqp04gwmaft67v91awp",,"cmhsbjkf40011maftzk8arvmv","cmhsbjo3w03q8maft77b9oz7q","SAFETY_VIOLATION","LOW","Incident 16 - SPILL",,0,0,,,1395966.120794845,0,"REPORTED",,,,,,"2025-11-09T23:02:49.908Z","2025-11-09T23:02:49.908Z"
"cmhsbjynp0e7amaftvu5hri6h","INC-000017","2025-07-26T23:02:49.871Z","2025-07-27T02:54:32.378Z","Location-22","SITE-0124","cmhsbjoqq04gymaftelj00twe",,"cmhsbjkfy001nmaftebg9054r","cmhsbjo3y03qamaftpmxi8k3b","ACCIDENT","HIGH","Incident 17 - EQUIPMENT_FAILURE","Root cause analysis completed",0,0,"Equipment damage reported",4852.131944216769,72702308.39972788,16.00413476758894,"INVESTIGATING","Corrective action implemented",,,,,"2025-11-09T23:02:49.909Z","2025-11-09T23:02:49.909Z"
"cmhsbjynr0e7cmafttvykj4y5","INC-000018","2025-11-06T23:02:49.871Z","2025-11-07T14:09:16.863Z","Location-41","SITE-0276","cmhsbjoqs04h0maftbbzl5i7c",,"cmhsbjken000pmaftxgneofux","cmhsbjo4003qcmaft5enzwkjh","COLLISION","LOW","Incident 18 - NEAR_MISS","Root cause analysis completed",0,0,,,6400293.451022094,0,"INVESTIGATING","Corrective action implemented",,,,,"2025-11-09T23:02:49.911Z","2025-11-09T23:02:49.911Z"
"cmhsbjynt0e7emafthf4zdlg0","INC-000019","2025-09-30T23:02:49.871Z","2025-10-01T00:10:35.729Z","Location-8","SITE-0280",,"cmhsbjpn805dvmaft5yuslsor","cmhsbjkgq0027maftifno7wgb",,"EQUIPMENT_FAILURE","LOW","Incident 19 - COLLISION","Root cause analysis completed",0,0,,,1037010.893652217,0,"RESOLVED","Corrective action implemented",,,,,"2025-11-09T23:02:49.913Z","2025-11-09T23:02:49.913Z"
"cmhsbjynv0e7gmaft48mkkoj1","INC-000020","2025-08-23T23:02:49.871Z","2025-08-24T02:46:08.368Z","Location-18","SITE-0458","cmhsbjoqv04h4maft897qxiyn",,"cmhsbjkge001ymaftl1i6fh6i","cmhsbjo4303qgmaftk76yjk43","EQUIPMENT_FAILURE","LOW","Incident 20 - SAFETY_VIOLATION","Root cause analysis completed",0,0,,,9575616.459180947,0,"RESOLVED","Corrective action implemented",,,,,"2025-11-09T23:02:49.916Z","2025-11-09T23:02:49.916Z"
"cmhsbjyny0e7imaftigmsw5tp","INC-000021","2025-06-22T23:02:49.871Z","2025-06-23T00:38:56.246Z","Location-9","SITE-0172","cmhsbjoqx04h6maftifh7ltgc","cmhsbjpnb05dxmaftta4c20l3","cmhsbjkf1000zmaftwzn6f7ss","cmhsbjo4403qimaftt90mafcu","NEAR_MISS","MEDIUM","Incident 21 - SAFETY_VIOLATION","Root cause analysis completed",0,0,"Equipment damage reported",4123.370714883854,27359019.52253249,1.143927636171227,"CLOSED","Corrective action implemented","Preventive measures documented",,,,"2025-11-09T23:02:49.918Z","2025-11-09T23:02:49.918Z"
"cmhsbjyo00e7kmaftieye8pvt","INC-000022","2025-07-21T23:02:49.871Z","2025-07-22T04:13:00.114Z","Location-34","SITE-0125","cmhsbjor004h8maftgz255860","cmhsbjpne05dymafte2d8h7g2","cmhsbjkeq000rmaftzvz9hhwg","cmhsbjo4603qkmaftesju7skj","NEAR_MISS","LOW","Incident 22 - EQUIPMENT_FAILURE","Root cause analysis completed",0,0,,,809858.087901536,0,"CLOSED","Corrective action implemented","Preventive measures documented",,,,"2025-11-09T23:02:49.920Z","2025-11-09T23:02:49.920Z"
"cmhsbjyo20e7mmaftbd2t5weu","INC-000023","2025-10-23T23:02:49.871Z","2025-10-24T18:11:34.593Z","Location-49","SITE-0435",,"cmhsbjpnh05dzmaft8x5aa2ud","cmhsbjkg0001pmaft6qk5mj2s",,"NEAR_MISS","LOW","Incident 23 - SPILL",,0,0,,,5746901.424211204,0,"REPORTED",,,,,,"2025-11-09T23:02:49.922Z","2025-11-09T23:02:49.922Z"
"cmhsbjyo40e7omaft9llifvm6","INC-000024","2025-09-30T23:02:49.871Z","2025-10-01T11:40:46.710Z","Location-46","SITE-0419","cmhsbjor304hcmaft0c86ax5x","cmhsbjpnj05e0maftor3v8l65","cmhsbjkdy0007maftlhqh0vpc","cmhsbjo4b03qomaft3e88vpfk","COLLISION","MEDIUM","Incident 24 - EQUIPMENT_FAILURE","Root cause analysis completed",0,0,"Equipment damage reported",762.1227104652239,16676217.62906428,1.255720148150147,"INVESTIGATING","Corrective action implemented",,,,,"2025-11-09T23:02:49.924Z","2025-11-09T23:02:49.924Z"
"cmhsbjyo50e7qmaftwq7el5gg","INC-000025","2025-09-30T23:02:49.871Z","2025-09-30T23:12:10.126Z","Location-3","SITE-0464",,,"cmhsbjkfj001cmafts1vmlkvl",,"COLLISION","HIGH","Incident 25 - SAFETY_VIOLATION","Root cause analysis completed",0,0,"Equipment damage reported",217.8947766854911,120975453.0855161,10.96497958575633,"INVESTIGATING","Corrective action implemented",,,,,"2025-11-09T23:02:49.926Z","2025-11-09T23:02:49.926Z"
"cmhsbjyo70e7smaft4h7k3afm","INC-000026","2025-10-05T23:02:49.871Z","2025-10-06T00:34:54.053Z","Location-25","SITE-0346","cmhsbjor704hgmaftlr2dn94l",,"cmhsbjkg6001tmafts5b06c7e","cmhsbjo4e03qsmaft5v5jcru5","EQUIPMENT_FAILURE","LOW","Incident 26 - SAFETY_VIOLATION",,0,0,,,2613951.911992291,0,"REPORTED",,,,,,"2025-11-09T23:02:49.928Z","2025-11-09T23:02:49.928Z"
"cmhsbjyo90e7umaft0sy89029","INC-000027","2025-07-27T23:02:49.871Z","2025-07-28T19:43:45.353Z","Location-14","SITE-0568","cmhsbjor804himaftpo7veesd",,"cmhsbjkdv0005maftk0yc9ndo","cmhsbjo4g03qumaftbcqj3p0q","SAFETY_VIOLATION","HIGH","Incident 27 - EQUIPMENT_FAILURE","Root cause analysis completed",0,0,"Equipment damage reported",3809.103384308446,242033694.4045456,16.77365259967749,"CLOSED","Corrective action implemented","Preventive measures documented",,,,"2025-11-09T23:02:49.929Z","2025-11-09T23:02:49.929Z"
"cmhsbjyob0e7wmaft1qcdda24","INC-000028","2025-11-02T23:02:49.871Z","2025-11-03T08:19:05.752Z","Location-17","SITE-0392",,,"cmhsbjkfc0017maft5m6xi7ll",,"SPILL","MEDIUM","Incident 28 - COLLISION","Root cause analysis completed",0,0,"Equipment damage reported",977.634459243093,33456785.28132573,17.60943639017673,"CLOSED","Corrective action implemented","Preventive measures documented",,,,"2025-11-09T23:02:49.931Z","2025-11-09T23:02:49.931Z"
"cmhsbjyoe0e7ymaft5dxof0qc","INC-000029","2025-10-25T23:02:49.871Z","2025-10-26T17:57:26.645Z","Location-12","SITE-0152","cmhsbjorb04hmmaftzwlarqhs",,"cmhsbjkf0000ymaftrwewg00q","cmhsbjo4k03qymaftcyp82fuy","COLLISION","LOW","Incident 29 - SAFETY_VIOLATION","Root cause analysis completed",0,0,,,5497510.108895003,0,"CLOSED","Corrective action implemented","Preventive measures documented",,,,"2025-11-09T23:02:49.934Z","2025-11-09T23:02:49.934Z"
"cmhsbjyog0e80maftv84fnviu","INC-000030","2025-06-02T23:02:49.871Z","2025-06-03T07:16:01.319Z","Location-3","SITE-0151","cmhsbjord04homaftyoj5y37q",,"cmhsbjkge001ymaftl1i6fh6i","cmhsbjo4m03r0maftmmiu38uk","NEAR_MISS","LOW","Incident 30 - COLLISION",,0,0,,,6050983.779267463,0,"REPORTED",,,,,,"2025-11-09T23:02:49.936Z","2025-11-09T23:02:49.936Z"
"cmhsbjyoh0e82mafthp4pfwg6","INC-000031","2025-07-06T23:02:49.871Z","2025-07-07T12:38:58.622Z","Location-35","SITE-0078","cmhsbjorf04hqmaftp8zu0g8r",,"cmhsbjkdz0008maft3coo45ec","cmhsbjo4n03r2maft2c9yl3dn","SAFETY_VIOLATION","MEDIUM","Incident 31 - SAFETY_VIOLATION",,0,0,"Equipment damage reported",2670.941127463534,12999112.4407189,12.02255661562482,"REPORTED",,,,,,"2025-11-09T23:02:49.938Z","2025-11-09T23:02:49.938Z"
"cmhsbjyoj0e84maftl4nh9cox","INC-000032","2025-07-18T23:02:49.871Z","2025-07-19T08:13:14.808Z","Location-19","SITE-0373","cmhsbjorh04hsmaft3xusqr9i",,"cmhsbjkds0003maftiu78c3i0","cmhsbjo4q03r4maftcrx59g4d","SAFETY_VIOLATION","HIGH","Incident 32 - SAFETY_VIOLATION","Root cause analysis completed",1,0,"Equipment damage reported",2034.710061581272,125813239.5287715,10.84499496075472,"RESOLVED","Corrective action implemented",,,,,"2025-11-09T23:02:49.939Z","2025-11-09T23:02:49.939Z"
"cmhsbjyol0e86mafteli6pwms","INC-000033","2025-06-17T23:02:49.871Z","2025-06-18T06:09:39.234Z","Location-10","SITE-0498",,,"cmhsbjkg6001tmafts5b06c7e",,"SPILL","MEDIUM","Incident 33 - NEAR_MISS","Root cause analysis completed",0,0,"Equipment damage reported",974.1399754269897,32172973.17009487,20.21798349501125,"CLOSED","Corrective action implemented","Preventive measures documented",,,,"2025-11-09T23:02:49.941Z","2025-11-09T23:02:49.941Z"
"cmhsbjyon0e88maftfirz1s91","INC-000034","2025-08-14T23:02:49.871Z","2025-08-15T14:41:34.430Z","Location-48","SITE-0108",,,"cmhsbjkex000wmaftwerlnlyw",,"ACCIDENT","LOW","Incident 34 - NEAR_MISS","Root cause analysis completed",0,0,,,7126559.9743325,0,"CLOSED","Corrective action implemented","Preventive measures documented",,,,"2025-11-09T23:02:49.943Z","2025-11-09T23:02:49.943Z"
"cmhsbjyop0e8amaftdeem6k1h","INC-000035","2025-09-03T23:02:49.871Z","2025-09-04T07:47:43.288Z","Location-7","SITE-0018","cmhsbjorm04hymaftpx8ttnyp","cmhsbjpo305ebmaftpd5g98bw","cmhsbjkfq001hmaft7ulgwdck","cmhsbjo4v03ramaft15p264cy","COLLISION","LOW","Incident 35 - NEAR_MISS",,0,0,,,921078.3271796963,0,"REPORTED",,,,,,"2025-11-09T23:02:49.945Z","2025-11-09T23:02:49.945Z"
"cmhsbjyoq0e8cmaftzl7urjtu","INC-000036","2025-11-09T23:02:49.871Z","2025-11-10T07:50:37.332Z","Location-39","SITE-0557","cmhsbjorn04i0maftqxflp8nd",,"cmhsbjkg8001umaft7k1vtoc5","cmhsbjo4x03rcmafttjbv01s0","SPILL","HIGH","Incident 36 - SPILL","Root cause analysis completed",0,0,"Equipment damage reported",883.3258077498274,210278238.6441836,12.0098429920261,"RESOLVED","Corrective action implemented",,,,,"2025-11-09T23:02:49.947Z","2025-11-09T23:02:49.947Z"
"cmhsbjyot0e8emaftpqx1ou79","INC-000037","2025-08-21T23:02:49.871Z","2025-08-22T19:30:15.118Z","Location-35","SITE-0414",,,"cmhsbjkha002mmaftaaa9fm21",,"SAFETY_VIOLATION","MEDIUM","Incident 37 - NEAR_MISS","Root cause analysis completed",0,0,"Equipment damage reported",819.8344444028648,45840820.98963292,2.932319147952713,"RESOLVED","Corrective action implemented",,,,,"2025-11-09T23:02:49.949Z","2025-11-09T23:02:49.949Z"
"cmhsbjyov0e8gmaft604klwdo","INC-000038","2025-09-13T23:02:49.871Z","2025-09-14T21:48:49.003Z","Location-39","SITE-0432",,,"cmhsbjkgz002emaft08l1vbix",,"NEAR_MISS","MEDIUM","Incident 38 - ACCIDENT","Root cause analysis completed",0,0,"Equipment damage reported",4719.806765535242,46101737.45047936,13.79330212110059,"INVESTIGATING","Corrective action implemented",,,,,"2025-11-09T23:02:49.951Z","2025-11-09T23:02:49.951Z"
"cmhsbjyox0e8imaftsoqax9r7","INC-000039","2025-09-20T23:02:49.871Z","2025-09-21T15:56:59.738Z","Location-8","SITE-0141","cmhsbjors04i6maftcrlaa27c",,"cmhsbjkfy001nmaftebg9054r","cmhsbjo5203rimaft33fxvxix","EQUIPMENT_FAILURE","HIGH","Incident 39 - SPILL","Root cause analysis completed",0,0,"Equipment damage reported",2093.694040386004,131463058.3362806,22.2852771739444,"INVESTIGATING","Corrective action implemented",,,,,"2025-11-09T23:02:49.953Z","2025-11-09T23:02:49.953Z"
"cmhsbjyoy0e8kmaftdl5nzgag","INC-000040","2025-07-21T23:02:49.871Z","2025-07-22T15:25:22.330Z","Location-20","SITE-0074","cmhsbjoru04i8maftm8iw75li",,"cmhsbjkeb000gmaft5y6g409v","cmhsbjo5403rkmaftayolr6w5","ACCIDENT","HIGH","Incident 40 - EQUIPMENT_FAILURE","Root cause analysis completed",0,0,"Equipment damage reported",10.91366612190225,137870886.8395957,6.417335143537587,"INVESTIGATING","Corrective action implemented",,,,,"2025-11-09T23:02:49.955Z","2025-11-09T23:02:49.955Z"
"cmhsbjyp00e8mmaftd0jppudg","INC-000041","2025-11-05T23:02:49.871Z","2025-11-06T05:07:22.755Z","Location-4","SITE-0231","cmhsbjorw04iamaftznshldnd",,"cmhsbjkgi0021maft8heoeflx","cmhsbjo5603rmmaftarlgfskg","ACCIDENT","LOW","Incident 41 - COLLISION","Root cause analysis completed",0,0,,,5714398.878841174,0,"CLOSED","Corrective action implemented","Preventive measures documented",,,,"2025-11-09T23:02:49.957Z","2025-11-09T23:02:49.957Z"
"cmhsbjyp20e8omaft6nuniyur","INC-000042","2025-08-18T23:02:49.871Z","2025-08-19T06:27:09.784Z","Location-18","SITE-0381","cmhsbjory04icmaftutki01d9",,"cmhsbjkfk001dmaftyxs4y5tl","cmhsbjo5803romaftobjn4won","NEAR_MISS","MEDIUM","Incident 42 - SPILL",,0,0,"Equipment damage reported",1372.260205370328,26503423.29923664,21.63654552129869,"REPORTED",,,,,,"2025-11-09T23:02:49.959Z","2025-11-09T23:02:49.959Z"
"cmhsbjyp40e8qmaftlk52ac74","INC-000043","2025-05-22T23:02:49.871Z","2025-05-23T07:27:27.988Z","Location-44","SITE-0035",,"cmhsbjpoi05ejmaft8nj3ek0v","cmhsbjkf70013maftuxbjtngc",,"COLLISION","HIGH","Incident 43 - EQUIPMENT_FAILURE","Root cause analysis completed",0,0,"Equipment damage reported",4362.052641366232,169627766.2072863,10.67614522197463,"CLOSED","Corrective action implemented","Preventive measures documented",,,,"2025-11-09T23:02:49.960Z","2025-11-09T23:02:49.960Z"
"cmhsbjyp60e8smaftgygbr9m9","INC-000044","2025-06-08T23:02:49.871Z","2025-06-09T07:36:20.146Z","Location-16","SITE-0203","cmhsbjos104igmafteeczfocw","cmhsbjpok05ekmaftwnc2ghub","cmhsbjkhg002rmaft60fnufeh","cmhsbjo5c03rsmafthklrq71m","SAFETY_VIOLATION","LOW","Incident 44 - COLLISION","Root cause analysis completed",0,0,,,6344097.822309947,0,"RESOLVED","Corrective action implemented",,,,,"2025-11-09T23:02:49.962Z","2025-11-09T23:02:49.962Z"
"cmhsbjyp80e8umaftksgca3q4","INC-000045","2025-06-19T23:02:49.871Z","2025-06-20T02:11:55.651Z","Location-28","SITE-0548",,,"cmhsbjkfu001kmaftyk6iltee",,"COLLISION","HIGH","Incident 45 - EQUIPMENT_FAILURE",,0,0,"Equipment damage reported",200.8953559816662,90008287.55381769,14.6477784506385,"REPORTED",,,,,,"2025-11-09T23:02:49.964Z","2025-11-09T23:02:49.964Z"
"cmhsbjypa0e8wmaftexc1e2dx","INC-000046","2025-09-11T23:02:49.871Z","2025-09-12T22:39:13.157Z","Location-37","SITE-0017",,"cmhsbjpon05emmaftgb2tkywk","cmhsbjkfz001omaftunemdkn1",,"EQUIPMENT_FAILURE","LOW","Incident 46 - SAFETY_VIOLATION",,0,0,,,7002544.522140342,0,"REPORTED",,,,,,"2025-11-09T23:02:49.967Z","2025-11-09T23:02:49.967Z"
"cmhsbjypc0e8ymaft7knq8c3j","INC-000047","2025-06-14T23:02:49.871Z","2025-06-15T16:58:26.992Z","Location-40","SITE-0011","cmhsbjos604immaftbamo6yen",,"cmhsbjkgc001xmaftej7c4ft9","cmhsbjo5h03rymaftcj1mbsrz","COLLISION","HIGH","Incident 47 - SPILL",,0,0,"Equipment damage reported",1181.308575524326,96432455.84664606,3.145666553782346,"REPORTED",,,,,,"2025-11-09T23:02:49.969Z","2025-11-09T23:02:49.969Z"
"cmhsbjype0e90maftdjb4yusf","INC-000048","2025-09-12T23:02:49.871Z","2025-09-13T05:00:58.090Z","Location-13","SITE-0370","cmhsbjos804iomaft1277m7ao","cmhsbjpor05eomaftb5yqc958","cmhsbjkdw0006maftoug0ufbw","cmhsbjo5j03s0maftxickrdtl","EQUIPMENT_FAILURE","MEDIUM","Incident 48 - SAFETY_VIOLATION","Root cause analysis completed",0,0,"Equipment damage reported",2742.921166722825,48147890.82751045,0.05218640926872453,"INVESTIGATING","Corrective action implemented",,,,,"2025-11-09T23:02:49.971Z","2025-11-09T23:02:49.971Z"
"cmhsbjypg0e92maftmub42kdn","INC-000049","2025-09-24T23:02:49.871Z","2025-09-25T22:57:51.694Z","Location-1","SITE-0550",,,"cmhsbjkfn001fmaftlb78uz8o",,"SPILL","MEDIUM","Incident 49 - NEAR_MISS",,0,0,"Equipment damage reported",1461.30902697032,23007422.9313732,11.51835361714776,"REPORTED",,,,,,"2025-11-09T23:02:49.973Z","2025-11-09T23:02:49.973Z"
"cmhsbjypi0e94maftuvd6mlyv","INC-000050","2025-08-14T23:02:49.871Z","2025-08-15T18:16:13.340Z","Location-42","SITE-0102","cmhsbjosc04ismaft3ast4hhq",,"cmhsbjkgw002cmaftq375p2l5","cmhsbjo5m03s4maft41y5iqvc","ACCIDENT","HIGH","Incident 50 - EQUIPMENT_FAILURE","Root cause analysis completed",1,0,"Equipment damage reported",4833.001122270753,178907385.3500683,8.856637135668667,"CLOSED","Corrective action implemented","Preventive measures documented",,,,"2025-11-09T23:02:49.974Z","2025-11-09T23:02:49.974Z"
"cmhsbjypk0e96maft0dhawuey","INC-000051","2025-05-17T23:02:49.871Z","2025-05-18T06:31:30.308Z","Location-40","SITE-0335","cmhsbjose04iumaftdnqxuzs4",,"cmhsbjkf20010maftc643gj1c","cmhsbjo5p03s6maftqbwywhp0","SPILL","LOW","Incident 51 - COLLISION","Root cause analysis completed",0,0,,,9938882.569470124,0,"RESOLVED","Corrective action implemented",,,,,"2025-11-09T23:02:49.976Z","2025-11-09T23:02:49.976Z"
"cmhsbjypm0e98maft5r7707s7","INC-000052","2025-05-29T23:02:49.871Z","2025-05-30T08:04:02.990Z","Location-16","SITE-0002","cmhsbjosg04iwmaftomgfaci8",,"cmhsbjkdp0001maftund967le","cmhsbjo5q03s8mafts2fbqx0b","EQUIPMENT_FAILURE","MEDIUM","Incident 52 - SAFETY_VIOLATION",,0,0,"Equipment damage reported",3145.098767388979,42000301.27157796,4.082580398105481,"REPORTED",,,,,,"2025-11-09T23:02:49.978Z","2025-11-09T23:02:49.978Z"
"cmhsbjypo0e9amaftzhqwxjps","INC-000053","2025-10-22T23:02:49.871Z","2025-10-23T03:28:00.937Z","Location-9","SITE-0449",,,"cmhsbjkf20010maftc643gj1c",,"ACCIDENT","MEDIUM","Incident 53 - NEAR_MISS","Root cause analysis completed",0,0,"Equipment damage reported",1929.903782903513,13146826.27497076,14.82050774590722,"INVESTIGATING","Corrective action implemented",,,,,"2025-11-09T23:02:49.980Z","2025-11-09T23:02:49.980Z"
