"id","sessionId","userId","userQuery","queryIntent","retrievedContext","sqlQuery","botResponse","responseSource","confidence","responseTime","tokensUsed","userFeedback","feedbackComment","timestamp"
"cmhsbk3i20iu2maft72v9s5rk","SESSION-0000038","cmhsbjkf40011maftzk8arvmv","Query 38 - Information request","EQUIPMENT_STATUS","{""documents"":1,""relevance"":0.8869697558926777}","SELECT * FROM hauling_activities WHERE ...","Response to query 38 with relevant information","DATABASE",0.8210029967328687,1,884,"POSITIVE","User feedback comment","2025-10-15T22:02:56.127Z"
"cmhsbk3i30iu3maftpg92pxda","SESSION-0000039","cmhsbjkf50012maftrngc3r4g","Query 39 - Information request","MAINTENANCE_SCHEDULE","{""documents"":2,""relevance"":0.9112869394771537}",,"Response to query 39 with relevant information","RULE_ENGINE",0.7273584383890909,0,303,"POSITIVE","User feedback comment","2025-11-03T14:02:56.127Z"
"cmhsbk3i40iu4maftcmkzi7e9","SESSION-0000040","cmhsbjkf70013maftuxbjtngc","Query 40 - Information request","PRODUCTION_QUERY","{""documents"":2,""relevance"":0.7012691088931939}",,"Response to query 40 with relevant information","HYBRID",0.922441026821659,0,320,"POSITIVE",,"2025-10-18T04:02:56.127Z"
"cmhsbk3i50iu5maftin9cvk8h","SESSION-0000041","cmhsbjkf80014maft46ghpdly","Query 41 - Information request","EQUIPMENT_STATUS","{""documents"":5,""relevance"":0.8577264818751529}",,"Response to query 41 with relevant information","ML_MODEL",0.8287932331096762,2,1326,"NEGATIVE",,"2025-10-27T22:02:56.127Z"
"cmhsbk3i60iu6maft33u9ihiu","SESSION-0000042","cmhsbjkf90015maftmmc9gxhb","Query 42 - Information request","FUEL_REPORT","{""documents"":2,""relevance"":0.8515311942725676}",,"Response to query 42 with relevant information","HYBRID",0.7588660725757791,2,1366,,,"2025-10-11T13:02:56.127Z"
"cmhsbk3i80iu7maft2szsp83v","SESSION-0000043","cmhsbjkfb0016maft96g4l7e3","Query 43 - Information request","DELAY_ANALYSIS","{""documents"":3,""relevance"":0.8105061454536605}","SELECT * FROM hauling_activities WHERE ...","Response to query 43 with relevant information","HYBRID",0.8240761055770842,1,684,,,"2025-10-14T18:02:56.127Z"
"cmhsbk3i90iu8maftu2zs2mq6","SESSION-0000044","cmhsbjkfc0017maft5m6xi7ll","Query 44 - Information request","FUEL_REPORT","{""documents"":7,""relevance"":0.8335993538503166}",,"Response to query 44 with relevant information","HYBRID",0.7295348715046146,1,931,"POSITIVE","User feedback comment","2025-10-25T21:02:56.127Z"
"cmhsbk3ia0iu9maftnx5zirej","SESSION-0000045","cmhsbjkfd0018maft7eaqkmge","Query 45 - Information request","PRODUCTION_QUERY","{""documents"":6,""relevance"":0.8049227403773178}","SELECT * FROM hauling_activities WHERE ...","Response to query 45 with relevant information","ML_MODEL",0.8379820473765422,0,323,"NEGATIVE",,"2025-11-03T22:02:56.127Z"
"cmhsbk3ib0iuamaftm1unbdvf","SESSION-0000046","cmhsbjkff0019mafttrr09lpb","Query 46 - Information request","DELAY_ANALYSIS","{""documents"":5,""relevance"":0.7277314444710845}",,"Response to query 46 with relevant information","ML_MODEL",0.7419566669111961,1,832,"NEGATIVE","User feedback comment","2025-11-01T12:02:56.127Z"
"cmhsbk3id0iubmaftxlqhiabd","SESSION-0000047","cmhsbjkfg001amaftfze5vqss","Query 47 - Information request","DELAY_ANALYSIS","{""documents"":10,""relevance"":0.8344529330497712}",,"Response to query 47 with relevant information","ML_MODEL",0.791213448347614,2,1077,"NEGATIVE",,"2025-10-21T04:02:56.127Z"
"cmhsbk3ie0iucmaftjc9yhp0k","SESSION-0000048","cmhsbjkfh001bmaft4e8pimoj","Query 48 - Information request","FUEL_REPORT","{""documents"":9,""relevance"":0.726952229242025}",,"Response to query 48 with relevant information","DATABASE",0.8821453556784838,1,806,,"User feedback comment","2025-11-01T08:02:56.127Z"
"cmhsbk3ig0iudmaftnn42dgu9","SESSION-0000049","cmhsbjkfj001cmafts1vmlkvl","Query 49 - Information request","MAINTENANCE_SCHEDULE","{""documents"":8,""relevance"":0.8553910357913153}","SELECT * FROM hauling_activities WHERE ...","Response to query 49 with relevant information","DATABASE",0.8737715355632254,2,1272,,,"2025-10-16T11:02:56.127Z"
"cmhsbk3ih0iuemaftyahllotg","SESSION-0000050","cmhsbjkfk001dmaftyxs4y5tl","Query 50 - Information request","MAINTENANCE_SCHEDULE","{""documents"":3,""relevance"":0.8809703150423092}","SELECT * FROM hauling_activities WHERE ...","Response to query 50 with relevant information","RULE_ENGINE",0.7701751522678737,2,1416,,,"2025-10-29T03:02:56.127Z"
"cmhsbk3ij0iufmaftiptp3b4w","SESSION-0000051","cmhsbjkfm001emaftwp1629bg","Query 51 - Information request","EQUIPMENT_STATUS","{""documents"":3,""relevance"":0.7254725295770564}","SELECT * FROM hauling_activities WHERE ...","Response to query 51 with relevant information","RULE_ENGINE",0.8033311891473565,2,1122,"NEGATIVE",,"2025-11-03T01:02:56.127Z"
"cmhsbk3ik0iugmaftomta9f3f","SESSION-0000052","cmhsbjkfn001fmaftlb78uz8o","Query 52 - Information request","MAINTENANCE_SCHEDULE","{""documents"":3,""relevance"":0.7099152553452934}","SELECT * FROM hauling_activities WHERE ...","Response to query 52 with relevant information","DATABASE",0.7724901181514152,1,762,,,"2025-10-28T01:02:56.127Z"
"cmhsbk3im0iuhmaft9gx9m0mt","SESSION-0000053","cmhsbjkfo001gmaft5x1mibe6","Query 53 - Information request","DELAY_ANALYSIS","{""documents"":9,""relevance"":0.7698006259215147}",,"Response to query 53 with relevant information","DATABASE",0.7570068096872196,2,1103,"NEGATIVE",,"2025-11-07T21:02:56.127Z"
"cmhsbk3in0iuimafto96ciu6b","SESSION-0000054","cmhsbjkfq001hmaft7ulgwdck","Query 54 - Information request","DELAY_ANALYSIS","{""documents"":10,""relevance"":0.8005802208932038}",,"Response to query 54 with relevant information","RULE_ENGINE",0.9176900519343446,1,990,,"User feedback comment","2025-10-11T03:02:56.127Z"
"cmhsbk3io0iujmaftbcw2p8z0","SESSION-0000055","cmhsbjkfr001imaftzea5gttz","Query 55 - Information request","MAINTENANCE_SCHEDULE","{""documents"":6,""relevance"":0.8798903015546011}",,"Response to query 55 with relevant information","HYBRID",0.7963433834627978,1,672,"NEGATIVE","User feedback comment","2025-11-04T01:02:56.127Z"
"cmhsbk3ip0iukmaftma98pim8","SESSION-0000056","cmhsbjkfs001jmaftkhidw659","Query 56 - Information request","DELAY_ANALYSIS","{""documents"":9,""relevance"":0.7514423918606822}","SELECT * FROM hauling_activities WHERE ...","Response to query 56 with relevant information","DATABASE",0.7133110789236332,0,334,,"User feedback comment","2025-10-28T05:02:56.127Z"
"cmhsbk3ir0iulmaftec821qr7","SESSION-0000057","cmhsbjkfu001kmaftyk6iltee","Query 57 - Information request","EQUIPMENT_STATUS","{""documents"":2,""relevance"":0.9078049980436333}",,"Response to query 57 with relevant information","HYBRID",0.9370256225107608,1,739,"NEGATIVE",,"2025-10-30T14:02:56.127Z"
"cmhsbk3is0iummaftplz11go1","SESSION-0000058","cmhsbjkfv001lmaft7ijxvzq8","Query 58 - Information request","PRODUCTION_QUERY","{""documents"":5,""relevance"":0.8124408845370463}",,"Response to query 58 with relevant information","ML_MODEL",0.7644165039770128,1,714,,"User feedback comment","2025-10-12T03:02:56.127Z"
"cmhsbk3it0iunmaftyld0ssf3","SESSION-0000059","cmhsbjkfx001mmaft1cjo39b1","Query 59 - Information request","MAINTENANCE_SCHEDULE","{""documents"":5,""relevance"":0.9272336024993322}",,"Response to query 59 with relevant information","ML_MODEL",0.70690362323208,0,375,"POSITIVE","User feedback comment","2025-10-27T18:02:56.127Z"
"cmhsbk3iv0iuomaftn58viwoe","SESSION-0000060","cmhsbjkfy001nmaftebg9054r","Query 60 - Information request","EQUIPMENT_STATUS","{""documents"":1,""relevance"":0.8111510167487654}","SELECT * FROM hauling_activities WHERE ...","Response to query 60 with relevant information","HYBRID",0.9300375283840172,2,1130,"NEGATIVE",,"2025-10-17T21:02:56.127Z"
"cmhsbk3ix0iupmaftkwayt6ga","SESSION-0000061","cmhsbjkfz001omaftunemdkn1","Query 61 - Information request","MAINTENANCE_SCHEDULE","{""documents"":7,""relevance"":0.912346067930683}",,"Response to query 61 with relevant information","ML_MODEL",0.7581693994389811,1,860,"NEGATIVE",,"2025-10-22T20:02:56.127Z"
"cmhsbk3iy0iuqmaft42lwvigk","SESSION-0000062","cmhsbjkg0001pmaft6qk5mj2s","Query 62 - Information request","EQUIPMENT_STATUS","{""documents"":3,""relevance"":0.7930863098298312}",,"Response to query 62 with relevant information","ML_MODEL",0.8134991487600469,2,1457,,"User feedback comment","2025-11-02T11:02:56.127Z"
"cmhsbk3iz0iurmaft67jfjk7e","SESSION-0000063","cmhsbjkg2001qmaft2hiy9wic","Query 63 - Information request","DELAY_ANALYSIS","{""documents"":9,""relevance"":0.8847208965830144}","SELECT * FROM hauling_activities WHERE ...","Response to query 63 with relevant information","RULE_ENGINE",0.7726400388012123,2,1118,"NEGATIVE","User feedback comment","2025-10-13T00:02:56.127Z"
"cmhsbk3j10iusmaftq5fpava9","SESSION-0000064","cmhsbjkg4001rmaft4ku8515q","Query 64 - Information request","EQUIPMENT_STATUS","{""documents"":6,""relevance"":0.7621375418775574}",,"Response to query 64 with relevant information","DATABASE",0.8143784840718704,1,598,,,"2025-10-27T19:02:56.127Z"
"cmhsbk3j20iutmaftdqua8ndx","SESSION-0000065","cmhsbjkg5001smaft0h451znz","Query 65 - Information request","FUEL_REPORT","{""documents"":6,""relevance"":0.8759151129378181}",,"Response to query 65 with relevant information","ML_MODEL",0.8790726959968539,1,723,"POSITIVE","User feedback comment","2025-10-24T01:02:56.127Z"
"cmhsbk3j30iuumaftvfosuvoz","SESSION-0000066","cmhsbjkg6001tmafts5b06c7e","Query 66 - Information request","EQUIPMENT_STATUS","{""documents"":9,""relevance"":0.8760488164375926}","SELECT * FROM hauling_activities WHERE ...","Response to query 66 with relevant information","DATABASE",0.8447975984889815,2,1010,,,"2025-10-22T01:02:56.127Z"
"cmhsbk3j40iuvmaftbworta7k","SESSION-0000067","cmhsbjkg8001umaft7k1vtoc5","Query 67 - Information request","FUEL_REPORT","{""documents"":2,""relevance"":0.7550815616702433}","SELECT * FROM hauling_activities WHERE ...","Response to query 67 with relevant information","DATABASE",0.7695745907954155,2,1041,"POSITIVE",,"2025-11-09T15:02:56.127Z"
"cmhsbk3j60iuwmaft6to8tt8y","SESSION-0000068","cmhsbjkga001vmaftqb2dkf24","Query 68 - Information request","FUEL_REPORT","{""documents"":1,""relevance"":0.8209025352491879}","SELECT * FROM hauling_activities WHERE ...","Response to query 68 with relevant information","HYBRID",0.7166402475569572,0,487,"NEGATIVE","User feedback comment","2025-11-06T14:02:56.127Z"
"cmhsbk3j70iuxmaftxe13w354","SESSION-0000069","cmhsbjkgb001wmaftx85ufi4z","Query 69 - Information request","EQUIPMENT_STATUS","{""documents"":2,""relevance"":0.7536062815540094}",,"Response to query 69 with relevant information","DATABASE",0.9040910355181243,1,670,"NEGATIVE",,"2025-10-29T12:02:56.127Z"
"cmhsbk3j80iuymaft6zgu8r2z","SESSION-0000070","cmhsbjkgc001xmaftej7c4ft9","Query 70 - Information request","PRODUCTION_QUERY","{""documents"":4,""relevance"":0.8132411718276653}","SELECT * FROM hauling_activities WHERE ...","Response to query 70 with relevant information","ML_MODEL",0.8715504912676926,1,868,"POSITIVE",,"2025-10-14T04:02:56.127Z"
"cmhsbk3ja0iuzmaftmazxzked","SESSION-0000071","cmhsbjkge001ymaftl1i6fh6i","Query 71 - Information request","DELAY_ANALYSIS","{""documents"":5,""relevance"":0.8756572846958572}",,"Response to query 71 with relevant information","HYBRID",0.712585093516231,1,610,,,"2025-10-14T09:02:56.127Z"
"cmhsbk3jb0iv0maftawd4hnpt","SESSION-0000072","cmhsbjkgf001zmafta02elvam","Query 72 - Information request","EQUIPMENT_STATUS","{""documents"":2,""relevance"":0.8046383527649603}","SELECT * FROM hauling_activities WHERE ...","Response to query 72 with relevant information","ML_MODEL",0.9194437166221952,0,382,"NEGATIVE",,"2025-10-25T05:02:56.127Z"
"cmhsbk3jd0iv1maft3x4ehfkg","SESSION-0000073","cmhsbjkgg0020maftmou9f3i1","Query 73 - Information request","PRODUCTION_QUERY","{""documents"":5,""relevance"":0.7566028801909663}",,"Response to query 73 with relevant information","ML_MODEL",0.8746542140131124,0,289,,,"2025-10-24T22:02:56.127Z"
"cmhsbk3je0iv2maft242emlaa","SESSION-0000074","cmhsbjkgi0021maft8heoeflx","Query 74 - Information request","FUEL_REPORT","{""documents"":7,""relevance"":0.8568804458155236}","SELECT * FROM hauling_activities WHERE ...","Response to query 74 with relevant information","DATABASE",0.9153845206711999,0,304,"NEGATIVE",,"2025-11-04T19:02:56.127Z"
"cmhsbk3jg0iv3maftutglkxu1","SESSION-0000075","cmhsbjkgj0022maftbtrs9kf1","Query 75 - Information request","FUEL_REPORT","{""documents"":10,""relevance"":0.7411451868600971}","SELECT * FROM hauling_activities WHERE ...","Response to query 75 with relevant information","RULE_ENGINE",0.9346019341309588,2,1343,"NEGATIVE","User feedback comment","2025-10-22T05:02:56.127Z"
"cmhsbk3jh0iv4maft6mh6hgpc","SESSION-0000076","cmhsbjkgk0023mafthepww12l","Query 76 - Information request","EQUIPMENT_STATUS","{""documents"":1,""relevance"":0.8805548000241705}","SELECT * FROM hauling_activities WHERE ...","Response to query 76 with relevant information","RULE_ENGINE",0.7062389148875846,2,1300,,,"2025-10-12T23:02:56.127Z"
"cmhsbk3ji0iv5maftnbwxau3s","SESSION-0000077","cmhsbjkgl0024maftg0vbi1xo","Query 77 - Information request","DELAY_ANALYSIS","{""documents"":3,""relevance"":0.860921137414743}",,"Response to query 77 with relevant information","HYBRID",0.9188694851124903,1,823,,,"2025-11-09T21:02:56.127Z"
"cmhsbk3jk0iv6maftihdmeil4","SESSION-0000078","cmhsbjkgn0025mafttff67ajv","Query 78 - Information request","DELAY_ANALYSIS","{""documents"":1,""relevance"":0.7930827730699579}","SELECT * FROM hauling_activities WHERE ...","Response to query 78 with relevant information","RULE_ENGINE",0.7159226422231572,0,471,,,"2025-10-12T10:02:56.127Z"
"cmhsbk3jl0iv7maft13czld0a","SESSION-0000079","cmhsbjkgo0026maft7kuznnvc","Query 79 - Information request","FUEL_REPORT","{""documents"":8,""relevance"":0.9210935592459466}",,"Response to query 79 with relevant information","ML_MODEL",0.8989982723282006,0,445,"POSITIVE",,"2025-11-03T20:02:56.127Z"
"cmhsbk3jm0iv8maft7yfy5iff","SESSION-0000080","cmhsbjkgq0027maftifno7wgb","Query 80 - Information request","FUEL_REPORT","{""documents"":7,""relevance"":0.9118249512874546}","SELECT * FROM hauling_activities WHERE ...","Response to query 80 with relevant information","ML_MODEL",0.766856790994763,2,1440,,,"2025-10-30T09:02:56.127Z"
