"id","recommendationId","recommendation","category","priority","justification","contextData","estimatedImpact","estimatedSavings","status","executedBy","executedAt","actualImpact","effectiveness","remarks","timestamp","updatedAt"
"cmhsbk2rv0icnmaft5weabmmg","REC-0000011","Recommendation 11 - Optimize operational efficiency","ALLOCATION","URGENT","Based on historical data analysis and current trends","{""source"":""AI_ANALYSIS"",""dataPoints"":953}","Positive impact on efficiency",23766292.72065297,"IGNORED",,,,,,"2025-09-28T23:02:55.224Z","2025-11-09T23:02:55.244Z"
"cmhsbk2rx0icomaftptxeg3xe","REC-0000012","Recommendation 12 - Optimize operational efficiency","ROUTE_OPTIMIZATION","MEDIUM","Based on historical data analysis and current trends","{""source"":""AI_ANALYSIS"",""dataPoints"":970}",,9415247.708332192,"PENDING",,,,,,"2025-10-17T23:02:55.224Z","2025-11-09T23:02:55.245Z"
"cmhsbk2ry0icpmaftksu02m9k","REC-0000013","Recommendation 13 - Optimize operational efficiency","ROUTE_OPTIMIZATION","HIGH","Based on historical data analysis and current trends","{""source"":""AI_ANALYSIS"",""dataPoints"":426}",,20178564.45608773,"PENDING",,,,,,"2025-10-12T23:02:55.224Z","2025-11-09T23:02:55.247Z"
"cmhsbk2s00icqmaftdfq0lcih","REC-0000014","Recommendation 14 - Optimize operational efficiency","ALLOCATION","LOW","Based on historical data analysis and current trends","{""source"":""AI_ANALYSIS"",""dataPoints"":201}","Positive impact on efficiency",41149719.55264758,"IGNORED",,,,,,"2025-09-25T23:02:55.224Z","2025-11-09T23:02:55.248Z"
"cmhsbk2s20icrmaftw3gm1etm","REC-0000015","Recommendation 15 - Optimize operational efficiency","MAINTENANCE","URGENT","Based on historical data analysis and current trends","{""source"":""AI_ANALYSIS"",""dataPoints"":195}",,23139365.34684543,"PENDING",,,,,,"2025-09-16T23:02:55.224Z","2025-11-09T23:02:55.250Z"
"cmhsbk2s40icsmaft3lu57p80","REC-0000016","Recommendation 16 - Optimize operational efficiency","PRODUCTION","LOW","Based on historical data analysis and current trends","{""source"":""AI_ANALYSIS"",""dataPoints"":98}","Positive impact on efficiency",31825598.63122293,"EXECUTED","cmhsbjkea000fmaft6p8hpyc1","2025-10-13T06:35:58.722Z","Implemented successfully",0.9425280951675776,,"2025-10-12T23:02:55.224Z","2025-11-09T23:02:55.252Z"
"cmhsbk2s50ictmaftvpboxpa5","REC-0000017","Recommendation 17 - Optimize operational efficiency","MAINTENANCE","MEDIUM","Based on historical data analysis and current trends","{""source"":""AI_ANALYSIS"",""dataPoints"":165}","Positive impact on efficiency",40086594.75324314,"IGNORED",,,,,,"2025-09-26T23:02:55.224Z","2025-11-09T23:02:55.254Z"
"cmhsbk2s70icumaftqigfchb7","REC-0000018","Recommendation 18 - Optimize operational efficiency","SAFETY","URGENT","Based on historical data analysis and current trends","{""source"":""AI_ANALYSIS"",""dataPoints"":528}","Positive impact on efficiency",27732926.54830846,"EXECUTED","cmhsbjkec000hmaft5m3ziehj","2025-11-03T08:08:50.451Z","Implemented successfully",0.8429749149974137,,"2025-10-26T23:02:55.224Z","2025-11-09T23:02:55.255Z"
"cmhsbk2s80icvmaftcyeb9qvf","REC-0000019","Recommendation 19 - Optimize operational efficiency","PRODUCTION","HIGH","Based on historical data analysis and current trends","{""source"":""AI_ANALYSIS"",""dataPoints"":977}","Positive impact on efficiency",14153600.17500984,"IGNORED",,,,,,"2025-10-05T23:02:55.224Z","2025-11-09T23:02:55.256Z"
"cmhsbk2s90icwmaftp51jphzs","REC-0000020","Recommendation 20 - Optimize operational efficiency","MAINTENANCE","MEDIUM","Based on historical data analysis and current trends","{""source"":""AI_ANALYSIS"",""dataPoints"":380}","Positive impact on efficiency",17038225.62344728,"IGNORED",,,,,,"2025-10-15T23:02:55.224Z","2025-11-09T23:02:55.258Z"
"cmhsbk2sb0icxmaftrxhp6og0","REC-0000021","Recommendation 21 - Optimize operational efficiency","FUEL_EFFICIENCY","LOW","Based on historical data analysis and current trends","{""source"":""AI_ANALYSIS"",""dataPoints"":605}","Positive impact on efficiency",11867733.60210621,"IGNORED",,,,,,"2025-10-26T23:02:55.224Z","2025-11-09T23:02:55.259Z"
"cmhsbk2sc0icymaftlbc163kl","REC-0000022","Recommendation 22 - Optimize operational efficiency","ROUTE_OPTIMIZATION","MEDIUM","Based on historical data analysis and current trends","{""source"":""AI_ANALYSIS"",""dataPoints"":704}",,33650077.01360857,"PENDING",,,,,,"2025-09-30T23:02:55.224Z","2025-11-09T23:02:55.261Z"
"cmhsbk2sd0iczmaftuseju3sa","REC-0000023","Recommendation 23 - Optimize operational efficiency","MAINTENANCE","HIGH","Based on historical data analysis and current trends","{""source"":""AI_ANALYSIS"",""dataPoints"":37}",,20282302.43269179,"PENDING",,,,,,"2025-11-09T23:02:55.224Z","2025-11-09T23:02:55.262Z"
"cmhsbk2sf0id0maft8ptxxlvo","REC-0000024","Recommendation 24 - Optimize operational efficiency","PRODUCTION","HIGH","Based on historical data analysis and current trends","{""source"":""AI_ANALYSIS"",""dataPoints"":515}","Positive impact on efficiency",15740119.6485174,"IGNORED",,,,,,"2025-09-26T23:02:55.224Z","2025-11-09T23:02:55.263Z"
"cmhsbk2sh0id1maftaxom3bai","REC-0000025","Recommendation 25 - Optimize operational efficiency","PRODUCTION","LOW","Based on historical data analysis and current trends","{""source"":""AI_ANALYSIS"",""dataPoints"":917}","Positive impact on efficiency",10321752.69949684,"IGNORED",,,,,,"2025-09-21T23:02:55.224Z","2025-11-09T23:02:55.265Z"
"cmhsbk2sj0id2maftrfrp3t6e","REC-0000026","Recommendation 26 - Optimize operational efficiency","SAFETY","MEDIUM","Based on historical data analysis and current trends","{""source"":""AI_ANALYSIS"",""dataPoints"":130}","Positive impact on efficiency",39771346.50486468,"IGNORED",,,,,,"2025-10-01T23:02:55.224Z","2025-11-09T23:02:55.267Z"
"cmhsbk2sk0id3maft6vz2xodu","REC-0000027","Recommendation 27 - Optimize operational efficiency","ROUTE_OPTIMIZATION","URGENT","Based on historical data analysis and current trends","{""source"":""AI_ANALYSIS"",""dataPoints"":37}",,12539694.45195748,"PENDING",,,,,,"2025-10-03T23:02:55.224Z","2025-11-09T23:02:55.269Z"
"cmhsbk2sm0id4maft2zege9u2","REC-0000028","Recommendation 28 - Optimize operational efficiency","ALLOCATION","LOW","Based on historical data analysis and current trends","{""source"":""AI_ANALYSIS"",""dataPoints"":611}","Positive impact on efficiency",52426512.82682884,"IGNORED",,,,,,"2025-10-29T23:02:55.224Z","2025-11-09T23:02:55.270Z"
"cmhsbk2sn0id5mafttqdefs72","REC-0000029","Recommendation 29 - Optimize operational efficiency","SAFETY","URGENT","Based on historical data analysis and current trends","{""source"":""AI_ANALYSIS"",""dataPoints"":287}",,37979941.97025971,"PENDING",,,,,,"2025-10-21T23:02:55.224Z","2025-11-09T23:02:55.271Z"
"cmhsbk2so0id6mafty9pdi3ve","REC-0000030","Recommendation 30 - Optimize operational efficiency","MAINTENANCE","HIGH","Based on historical data analysis and current trends","{""source"":""AI_ANALYSIS"",""dataPoints"":97}",,21898511.96358122,"PENDING",,,,,,"2025-09-29T23:02:55.224Z","2025-11-09T23:02:55.273Z"
"cmhsbk2sq0id7maft3tynlhen","REC-0000031","Recommendation 31 - Optimize operational efficiency","PRODUCTION","MEDIUM","Based on historical data analysis and current trends","{""source"":""AI_ANALYSIS"",""dataPoints"":79}","Positive impact on efficiency",34659329.76706392,"IGNORED",,,,,,"2025-09-26T23:02:55.224Z","2025-11-09T23:02:55.274Z"
"cmhsbk2sr0id8maft49bzuj6k","REC-0000032","Recommendation 32 - Optimize operational efficiency","ALLOCATION","MEDIUM","Based on historical data analysis and current trends","{""source"":""AI_ANALYSIS"",""dataPoints"":104}","Positive impact on efficiency",43625989.52768584,"IGNORED",,,,,,"2025-10-03T23:02:55.224Z","2025-11-09T23:02:55.275Z"
"cmhsbk2ss0id9maftk5d99d8u","REC-0000033","Recommendation 33 - Optimize operational efficiency","SAFETY","HIGH","Based on historical data analysis and current trends","{""source"":""AI_ANALYSIS"",""dataPoints"":377}","Positive impact on efficiency",9603850.176715929,"IGNORED",,,,,,"2025-10-19T23:02:55.224Z","2025-11-09T23:02:55.277Z"
"cmhsbk2su0idamaftsprbq68q","REC-0000034","Recommendation 34 - Optimize operational efficiency","ALLOCATION","HIGH","Based on historical data analysis and current trends","{""source"":""AI_ANALYSIS"",""dataPoints"":409}","Positive impact on efficiency",48738842.39854459,"EXECUTED","cmhsbjkez000xmaftq52h94hy","2025-10-12T05:53:35.737Z","Implemented successfully",0.8842372503013969,,"2025-10-07T23:02:55.224Z","2025-11-09T23:02:55.278Z"
"cmhsbk2sv0idbmaftnfelmi45","REC-0000035","Recommendation 35 - Optimize operational efficiency","FUEL_EFFICIENCY","LOW","Based on historical data analysis and current trends","{""source"":""AI_ANALYSIS"",""dataPoints"":845}","Positive impact on efficiency",52439193.85558948,"EXECUTED","cmhsbjkf0000ymaftrwewg00q","2025-09-26T03:33:29.838Z","Implemented successfully",0.6279811089416868,,"2025-09-23T23:02:55.224Z","2025-11-09T23:02:55.280Z"
"cmhsbk2sx0idcmaftt772k4d8","REC-0000036","Recommendation 36 - Optimize operational efficiency","SAFETY","MEDIUM","Based on historical data analysis and current trends","{""source"":""AI_ANALYSIS"",""dataPoints"":960}","Positive impact on efficiency",8762690.568672922,"IGNORED",,,,,,"2025-09-20T23:02:55.224Z","2025-11-09T23:02:55.281Z"
"cmhsbk2sz0iddmaftyfasqlk4","REC-0000037","Recommendation 37 - Optimize operational efficiency","ALLOCATION","MEDIUM","Based on historical data analysis and current trends","{""source"":""AI_ANALYSIS"",""dataPoints"":773}","Positive impact on efficiency",45879508.73225001,"IGNORED",,,,,,"2025-11-05T23:02:55.224Z","2025-11-09T23:02:55.283Z"
"cmhsbk2t00idemaft4brp9bym","REC-0000038","Recommendation 38 - Optimize operational efficiency","PRODUCTION","MEDIUM","Based on historical data analysis and current trends","{""source"":""AI_ANALYSIS"",""dataPoints"":249}",,41837195.2318818,"PENDING",,,,,,"2025-10-11T23:02:55.224Z","2025-11-09T23:02:55.285Z"
"cmhsbk2t20idfmaftzn65bmb4","REC-0000039","Recommendation 39 - Optimize operational efficiency","PRODUCTION","URGENT","Based on historical data analysis and current trends","{""source"":""AI_ANALYSIS"",""dataPoints"":665}",,30435280.12845828,"PENDING",,,,,,"2025-10-08T23:02:55.224Z","2025-11-09T23:02:55.286Z"
"cmhsbk2t30idgmaft9vp6cc6m","REC-0000040","Recommendation 40 - Optimize operational efficiency","ROUTE_OPTIMIZATION","URGENT","Based on historical data analysis and current trends","{""source"":""AI_ANALYSIS"",""dataPoints"":736}","Positive impact on efficiency",18610089.16498577,"IGNORED",,,,,,"2025-09-13T23:02:55.224Z","2025-11-09T23:02:55.287Z"
"cmhsbk2t40idhmaftog4d2n1o","REC-0000041","Recommendation 41 - Optimize operational efficiency","ROUTE_OPTIMIZATION","MEDIUM","Based on historical data analysis and current trends","{""source"":""AI_ANALYSIS"",""dataPoints"":247}",,50019231.36369109,"PENDING",,,,,,"2025-10-11T23:02:55.224Z","2025-11-09T23:02:55.289Z"
"cmhsbk2t60idimaftoefe56ff","REC-0000042","Recommendation 42 - Optimize operational efficiency","ALLOCATION","MEDIUM","Based on historical data analysis and current trends","{""source"":""AI_ANALYSIS"",""dataPoints"":941}","Positive impact on efficiency",47451205.40149625,"IGNORED",,,,,,"2025-09-28T23:02:55.224Z","2025-11-09T23:02:55.290Z"
"cmhsbk2t70idjmaftkyi91r9c","REC-0000043","Recommendation 43 - Optimize operational efficiency","ROUTE_OPTIMIZATION","LOW","Based on historical data analysis and current trends","{""source"":""AI_ANALYSIS"",""dataPoints"":175}","Positive impact on efficiency",8718019.803783068,"EXECUTED","cmhsbjkfb0016maft96g4l7e3","2025-10-10T11:11:17.498Z","Implemented successfully",0.6023822847111313,,"2025-10-06T23:02:55.224Z","2025-11-09T23:02:55.292Z"
"cmhsbk2t90idkmaft9jmfugxf","REC-0000044","Recommendation 44 - Optimize operational efficiency","ALLOCATION","LOW","Based on historical data analysis and current trends","{""source"":""AI_ANALYSIS"",""dataPoints"":736}",,48768909.33739452,"PENDING",,,,,,"2025-10-21T23:02:55.224Z","2025-11-09T23:02:55.293Z"
"cmhsbk2ta0idlmaft9ns9qphg","REC-0000045","Recommendation 45 - Optimize operational efficiency","FUEL_EFFICIENCY","MEDIUM","Based on historical data analysis and current trends","{""source"":""AI_ANALYSIS"",""dataPoints"":192}",,42432317.78636698,"PENDING",,,,,,"2025-10-09T23:02:55.224Z","2025-11-09T23:02:55.295Z"
"cmhsbk2tc0idmmaft8tu19ivn","REC-0000046","Recommendation 46 - Optimize operational efficiency","ALLOCATION","MEDIUM","Based on historical data analysis and current trends","{""source"":""AI_ANALYSIS"",""dataPoints"":704}","Positive impact on efficiency",44373333.08240332,"IGNORED",,,,,,"2025-10-16T23:02:55.224Z","2025-11-09T23:02:55.296Z"
"cmhsbk2td0idnmaftb02siucr","REC-0000047","Recommendation 47 - Optimize operational efficiency","ROUTE_OPTIMIZATION","HIGH","Based on historical data analysis and current trends","{""source"":""AI_ANALYSIS"",""dataPoints"":902}","Positive impact on efficiency",44329478.46405962,"EXECUTED","cmhsbjkfg001amaftfze5vqss","2025-09-24T00:46:22.163Z","Implemented successfully",0.7476978373516494,,"2025-09-22T23:02:55.224Z","2025-11-09T23:02:55.298Z"
"cmhsbk2tf0idomaftlrjqvvow","REC-0000048","Recommendation 48 - Optimize operational efficiency","SAFETY","MEDIUM","Based on historical data analysis and current trends","{""source"":""AI_ANALYSIS"",""dataPoints"":607}",,53920042.30079047,"PENDING",,,,,,"2025-09-18T23:02:55.224Z","2025-11-09T23:02:55.299Z"
"cmhsbk2th0idpmaftp2sbugm7","REC-0000049","Recommendation 49 - Optimize operational efficiency","MAINTENANCE","LOW","Based on historical data analysis and current trends","{""source"":""AI_ANALYSIS"",""dataPoints"":845}","Positive impact on efficiency",20821293.79138862,"EXECUTED","cmhsbjkfj001cmafts1vmlkvl","2025-10-05T11:48:59.455Z","Implemented successfully",0.7975630001030343,,"2025-10-01T23:02:55.224Z","2025-11-09T23:02:55.301Z"
"cmhsbk2ti0idqmaftqydolrgf","REC-0000050","Recommendation 50 - Optimize operational efficiency","PRODUCTION","HIGH","Based on historical data analysis and current trends","{""source"":""AI_ANALYSIS"",""dataPoints"":246}",,17271141.31568427,"PENDING",,,,,,"2025-09-28T23:02:55.224Z","2025-11-09T23:02:55.303Z"
"cmhsbk2tk0idrmaftgu7c0vzk","REC-0000051","Recommendation 51 - Optimize operational efficiency","FUEL_EFFICIENCY","HIGH","Based on historical data analysis and current trends","{""source"":""AI_ANALYSIS"",""dataPoints"":303}","Positive impact on efficiency",45516996.39972598,"IGNORED",,,,,,"2025-10-18T23:02:55.224Z","2025-11-09T23:02:55.304Z"
"cmhsbk2tl0idsmaft07ysuhan","REC-0000052","Recommendation 52 - Optimize operational efficiency","PRODUCTION","LOW","Based on historical data analysis and current trends","{""source"":""AI_ANALYSIS"",""dataPoints"":853}",,12418869.84062611,"PENDING",,,,,,"2025-09-17T23:02:55.224Z","2025-11-09T23:02:55.306Z"
"cmhsbk2tn0idtmafti70u49ao","REC-0000053","Recommendation 53 - Optimize operational efficiency","ROUTE_OPTIMIZATION","URGENT","Based on historical data analysis and current trends","{""source"":""AI_ANALYSIS"",""dataPoints"":768}","Positive impact on efficiency",31547822.96009256,"EXECUTED","cmhsbjkfo001gmaft5x1mibe6","2025-11-05T01:19:46.540Z","Implemented successfully",0.7695102457283847,,"2025-10-31T23:02:55.224Z","2025-11-09T23:02:55.307Z"
"cmhsbk2to0idumaftk0go727c","REC-0000054","Recommendation 54 - Optimize operational efficiency","SAFETY","URGENT","Based on historical data analysis and current trends","{""source"":""AI_ANALYSIS"",""dataPoints"":219}","Positive impact on efficiency",8315548.693651738,"EXECUTED","cmhsbjkfq001hmaft7ulgwdck","2025-11-06T19:53:51.815Z","Implemented successfully",0.6919866883851953,,"2025-11-04T23:02:55.224Z","2025-11-09T23:02:55.309Z"
"cmhsbk2tq0idvmaftqg8ekvx2","REC-0000055","Recommendation 55 - Optimize operational efficiency","SAFETY","URGENT","Based on historical data analysis and current trends","{""source"":""AI_ANALYSIS"",""dataPoints"":881}",,30546130.88879675,"PENDING",,,,,,"2025-10-24T23:02:55.225Z","2025-11-09T23:02:55.310Z"
"cmhsbk2tr0idwmaft6w31mad5","REC-0000056","Recommendation 56 - Optimize operational efficiency","PRODUCTION","HIGH","Based on historical data analysis and current trends","{""source"":""AI_ANALYSIS"",""dataPoints"":332}","Positive impact on efficiency",21020796.50627794,"EXECUTED","cmhsbjkfs001jmaftkhidw659","2025-10-30T07:34:13.417Z","Implemented successfully",0.8376409557803659,,"2025-10-20T23:02:55.225Z","2025-11-09T23:02:55.312Z"
"cmhsbk2ts0idxmaftjpmfwwi3","REC-0000057","Recommendation 57 - Optimize operational efficiency","SAFETY","HIGH","Based on historical data analysis and current trends","{""source"":""AI_ANALYSIS"",""dataPoints"":29}","Positive impact on efficiency",34953773.19704078,"EXECUTED","cmhsbjkfu001kmaftyk6iltee","2025-11-17T00:32:18.946Z","Implemented successfully",0.6130700229822074,,"2025-11-09T23:02:55.225Z","2025-11-09T23:02:55.313Z"
"cmhsbk2tu0idymaftteeuh4eg","REC-0000058","Recommendation 58 - Optimize operational efficiency","FUEL_EFFICIENCY","LOW","Based on historical data analysis and current trends","{""source"":""AI_ANALYSIS"",""dataPoints"":374}",,21658885.53157039,"PENDING",,,,,,"2025-11-09T23:02:55.225Z","2025-11-09T23:02:55.314Z"
"cmhsbk2tw0idzmaftyur8k8wp","REC-0000059","Recommendation 59 - Optimize operational efficiency","MAINTENANCE","URGENT","Based on historical data analysis and current trends","{""source"":""AI_ANALYSIS"",""dataPoints"":54}","Positive impact on efficiency",26708581.82591253,"EXECUTED","cmhsbjkfx001mmaft1cjo39b1","2025-09-25T12:51:17.860Z","Implemented successfully",0.6530060128958034,,"2025-09-24T23:02:55.225Z","2025-11-09T23:02:55.316Z"
"cmhsbk2tx0ie0maftx39q3m1m","REC-0000060","Recommendation 60 - Optimize operational efficiency","PRODUCTION","HIGH","Based on historical data analysis and current trends","{""source"":""AI_ANALYSIS"",""dataPoints"":977}",,45796451.18447348,"PENDING",,,,,,"2025-10-02T23:02:55.225Z","2025-11-09T23:02:55.318Z"
"cmhsbk2tz0ie1mafto759eq67","REC-0000061","Recommendation 61 - Optimize operational efficiency","PRODUCTION","HIGH","Based on historical data analysis and current trends","{""source"":""AI_ANALYSIS"",""dataPoints"":754}","Positive impact on efficiency",9648681.138944432,"EXECUTED","cmhsbjkfz001omaftunemdkn1","2025-10-24T14:46:17.622Z","Implemented successfully",0.9074590524519177,,"2025-10-23T23:02:55.225Z","2025-11-09T23:02:55.319Z"
"cmhsbk2u00ie2maftyi4pmb21","REC-0000062","Recommendation 62 - Optimize operational efficiency","ALLOCATION","MEDIUM","Based on historical data analysis and current trends","{""source"":""AI_ANALYSIS"",""dataPoints"":524}","Positive impact on efficiency",51560539.07966314,"EXECUTED","cmhsbjkg0001pmaft6qk5mj2s","2025-09-28T03:07:01.766Z","Implemented successfully",0.9214865151755778,,"2025-09-23T23:02:55.225Z","2025-11-09T23:02:55.321Z"
"cmhsbk2u20ie3maft9lrilp37","REC-0000063","Recommendation 63 - Optimize operational efficiency","PRODUCTION","MEDIUM","Based on historical data analysis and current trends","{""source"":""AI_ANALYSIS"",""dataPoints"":824}","Positive impact on efficiency",14949312.37525239,"IGNORED",,,,,,"2025-10-28T23:02:55.225Z","2025-11-09T23:02:55.322Z"
"cmhsbk2u30ie4maft0ozf4r9v","REC-0000064","Recommendation 64 - Optimize operational efficiency","ROUTE_OPTIMIZATION","HIGH","Based on historical data analysis and current trends","{""source"":""AI_ANALYSIS"",""dataPoints"":650}","Positive impact on efficiency",29973233.19678923,"EXECUTED","cmhsbjkg4001rmaft4ku8515q","2025-11-12T16:03:41.559Z","Implemented successfully",0.8498698792196551,,"2025-11-02T23:02:55.225Z","2025-11-09T23:02:55.323Z"
"cmhsbk2u40ie5maftvo6er2fx","REC-0000065","Recommendation 65 - Optimize operational efficiency","PRODUCTION","URGENT","Based on historical data analysis and current trends","{""source"":""AI_ANALYSIS"",""dataPoints"":628}","Positive impact on efficiency",13693613.78884591,"IGNORED",,,,,,"2025-10-11T23:02:55.225Z","2025-11-09T23:02:55.324Z"
"cmhsbk2u60ie6maft1ajgwo2q","REC-0000066","Recommendation 66 - Optimize operational efficiency","ROUTE_OPTIMIZATION","MEDIUM","Based on historical data analysis and current trends","{""source"":""AI_ANALYSIS"",""dataPoints"":105}",,54269799.45284829,"PENDING",,,,,,"2025-09-28T23:02:55.225Z","2025-11-09T23:02:55.326Z"
"cmhsbk2u70ie7maftadzlvzp4","REC-0000067","Recommendation 67 - Optimize operational efficiency","FUEL_EFFICIENCY","MEDIUM","Based on historical data analysis and current trends","{""source"":""AI_ANALYSIS"",""dataPoints"":213}",,7188762.851260629,"PENDING",,,,,,"2025-10-16T23:02:55.225Z","2025-11-09T23:02:55.328Z"
"cmhsbk2u90ie8maftso8g10c2","REC-0000068","Recommendation 68 - Optimize operational efficiency","ROUTE_OPTIMIZATION","URGENT","Based on historical data analysis and current trends","{""source"":""AI_ANALYSIS"",""dataPoints"":908}","Positive impact on efficiency",6530785.691339165,"EXECUTED","cmhsbjkdp0001maftund967le","2025-09-15T08:35:06.116Z","Implemented successfully",0.9111476392728819,,"2025-09-14T23:02:55.225Z","2025-11-09T23:02:55.329Z"
"cmhsbk2ua0ie9maftmfzc88ve","REC-0000069","Recommendation 69 - Optimize operational efficiency","SAFETY","LOW","Based on historical data analysis and current trends","{""source"":""AI_ANALYSIS"",""dataPoints"":811}","Positive impact on efficiency",53142851.14418453,"IGNORED",,,,,,"2025-10-14T23:02:55.225Z","2025-11-09T23:02:55.330Z"
"cmhsbk2uc0ieamaft4ojir4xd","REC-0000070","Recommendation 70 - Optimize operational efficiency","ROUTE_OPTIMIZATION","URGENT","Based on historical data analysis and current trends","{""source"":""AI_ANALYSIS"",""dataPoints"":338}",,50467004.07708056,"PENDING",,,,,,"2025-11-02T23:02:55.225Z","2025-11-09T23:02:55.332Z"
"cmhsbk2ud0iebmaftws4xmx72","REC-0000071","Recommendation 71 - Optimize operational efficiency","ALLOCATION","HIGH","Based on historical data analysis and current trends","{""source"":""AI_ANALYSIS"",""dataPoints"":590}","Positive impact on efficiency",30263409.07038136,"IGNORED",,,,,,"2025-10-02T23:02:55.225Z","2025-11-09T23:02:55.334Z"
"cmhsbk2uf0iecmaftta1qso9u","REC-0000072","Recommendation 72 - Optimize operational efficiency","MAINTENANCE","HIGH","Based on historical data analysis and current trends","{""source"":""AI_ANALYSIS"",""dataPoints"":277}",,13487474.50379355,"PENDING",,,,,,"2025-10-09T23:02:55.225Z","2025-11-09T23:02:55.335Z"
"cmhsbk2ug0iedmaft0js9ypsk","REC-0000073","Recommendation 73 - Optimize operational efficiency","ALLOCATION","MEDIUM","Based on historical data analysis and current trends","{""source"":""AI_ANALYSIS"",""dataPoints"":839}","Positive impact on efficiency",38908838.42175706,"IGNORED",,,,,,"2025-11-06T23:02:55.225Z","2025-11-09T23:02:55.337Z"
"cmhsbk2ui0ieemaftzilndqcu","REC-0000074","Recommendation 74 - Optimize operational efficiency","ROUTE_OPTIMIZATION","MEDIUM","Based on historical data analysis and current trends","{""source"":""AI_ANALYSIS"",""dataPoints"":691}","Positive impact on efficiency",9581850.15976872,"IGNORED",,,,,,"2025-10-27T23:02:55.225Z","2025-11-09T23:02:55.338Z"
