"id","vesselId","loadingPort","destination","etaLoading","etsLoading","plannedQuantity","actualQuantity","status","buyer"
"cmioppm4u079w96ten9h6ryox","cmioppkav06bm96teem5ur3nu","Banjarmasin","Merak","2025-12-30T17:46:16.486Z","2025-12-31T22:46:16.486Z",16472.67789823742,16207.85144181431,"STANDBY","PLN"
"cmioppm5307a096te0qbty6oe","cmioppkay06bo96te1k2nj5yb","Banjarmasin","Lontar","2025-12-25T10:54:05.698Z","2025-12-26T02:54:05.698Z",17442.05246259003,,"CANCELLED","PT Petrokimia"
"cmioppm5807a296tefnoa31x2","cmioppkaz06bp96te3cuyrzde","Balikpapan","Gresik","2025-12-31T13:40:57.589Z","2026-01-01T14:40:57.589Z",15348.32923197287,15602.96486078562,"DISCHARGING","PT Semen Indonesia"
"cmioppm5b07a496te0q12dnk0","cmioppkb106bq96te5311y8n6","Sangatta","Tanjung Priok","2025-12-22T09:46:17.361Z","2025-12-23T03:46:17.361Z",16349.69439551175,,"ARRIVED","PT Pupuk Indonesia"
"cmioppm5h07a696teifvqqtbn","cmioppkb206br96teu00sqqnj","Tarakan","Lontar","2025-12-30T11:23:50.389Z","2025-12-31T07:23:50.389Z",18808.26531865948,18278.62432622129,"COMPLETED","PT Semen Indonesia"
"cmioppm5p07a896te0a9mpjc0","cmioppkb406bs96teyn1cjc55","Tarakan","Merak","2025-12-26T09:36:45.493Z","2025-12-27T08:36:45.493Z",6575.868304370601,6417.685116186183,"CANCELLED","PLN"
"cmioppm5x07aa96teboalymqk","cmioppkb706bt96te1s2mg8px","Samarinda","Gresik","2025-12-29T22:10:27.066Z","2025-12-30T07:10:27.066Z",14806.20110349828,,"LOADING","PT Semen Indonesia"
"cmioppm6407ac96teucizznt0","cmioppkba06bu96telv1s89t4","Banjarmasin","Gresik","2025-12-18T03:31:26.655Z","2025-12-18T16:31:26.655Z",9536.771770125953,,"DISCHARGING","PLN"
"cmioppm6907ae96tern3yg9o8","cmioppkbd06bv96teys1mvs5m","Tanjung Bara","Lontar","2025-12-22T05:50:36.676Z","2025-12-23T09:50:36.676Z",8143.031684502116,8124.209174143382,"CANCELLED","PLN"
"cmioppm6e07ag96temlyxrgbf","cmioppkbf06bw96tev58wp25x","Muara Pantai","Lontar","2025-12-20T01:31:01.932Z","2025-12-20T14:31:01.932Z",10030.43405351482,,"DISCHARGING","PT Steel Indonesia"
"cmioppm6h07ai96tej4v3caki","cmioppkbh06bx96tes2ta8muw","Banjarmasin","Lontar","2025-12-17T06:28:43.308Z","2025-12-17T21:28:43.308Z",19470.27622812227,,"DISCHARGING","PLN"
"cmioppm6l07ak96ter3kfasym","cmioppkbj06by96terw9kk5ex","Tanjung Bara","Cilacap","2025-12-29T08:32:54.283Z","2025-12-29T16:32:54.283Z",9098.016231605241,8998.947243241846,"LOADING","PT Petrokimia"
"cmioppm6n07am96tekvqymocw","cmioppkbp06bz96tep4972agj","Tanjung Bara","Lontar","2025-12-16T23:30:06.834Z","2025-12-17T13:30:06.834Z",13894.5379769762,,"STANDBY","PT Pupuk Indonesia"
"cmioppm6q07ao96tektgbjgyi","cmioppkbs06c096tenq6umb3x","Muara Pantai","Paiton","2025-12-23T21:31:17.689Z","2025-12-24T03:31:17.689Z",6490.231428874216,,"LOADING","PT Petrokimia"
"cmioppm6t07aq96tegj34bovc","cmioppkbu06c196tet297ukxd","Muara Pantai","Lontar","2025-12-29T17:02:25.232Z","2025-12-30T21:02:25.232Z",17466.1532070886,,"CANCELLED","PT Steel Indonesia"
"cmioppm6v07as96teszv27hcc","cmioppkbx06c296te88ppdqys","Kariangau","Suralaya","2025-12-20T07:08:41.142Z","2025-12-21T04:08:41.142Z",12307.99783991897,11905.59633249934,"COMPLETED","PLN"
"cmioppm6y07au96tebbnc2577","cmioppkbz06c396te0l8ihfpd","Sangatta","Tanjung Priok","2025-12-20T02:29:04.879Z","2025-12-21T05:29:04.879Z",11569.9373579822,,"ARRIVED","PLN"
"cmioppm7007aw96te07cpszhu","cmioppkc206c496te3k4kssa7","Balikpapan","Gresik","2025-12-15T14:17:50.850Z","2025-12-15T20:17:50.850Z",15717.79962381245,,"LOADING","PT Petrokimia"
"cmioppm7307ay96tek66724ug","cmioppkc506c596te8olccuxq","Samarinda","Merak","2025-12-20T14:11:43.377Z","2025-12-21T08:11:43.377Z",19308.95966355981,,"COMPLETED","PT Steel Indonesia"
"cmioppm7507b096tewsmas9ky","cmioppkca06c696teb82opmk6","Sangatta","Gresik","2025-12-24T14:53:57.256Z","2025-12-25T06:53:57.256Z",7400.30196691394,,"STANDBY","PT Steel Indonesia"
"cmioppm7807b296teyprj70cz","cmioppkcc06c796te4dt48cre","Tarakan","Lontar","2025-12-29T00:21:58.072Z","2025-12-29T16:21:58.072Z",9598.423157453359,9486.830432343024,"SCHEDULED","PT Steel Indonesia"
"cmioppm7b07b496teoelc5aqt","cmioppkcf06c896teg2ggkdgo","Kariangau","Merak","2025-12-16T10:29:12.558Z","2025-12-17T15:29:12.558Z",18909.55882612497,19343.13753207208,"STANDBY","PT Steel Indonesia"
"cmioppm7e07b696tessii3ozz","cmioppkcm06c996te2kzof8mh","Kariangau","Lontar","2025-12-29T05:44:17.963Z","2025-12-29T12:44:17.963Z",17762.88715949718,,"ARRIVED","PT Semen Indonesia"
"cmioppm7g07b896teni5j0ucf","cmioppkcp06ca96teoxb97q9i","Tarakan","Cilacap","2025-12-17T01:36:30.354Z","2025-12-18T01:36:30.354Z",14692.40933946432,14994.36449234976,"ARRIVED","PT Pupuk Indonesia"
"cmioppm7j07ba96te9cb7d03f","cmioppkcr06cb96tel61zato8","Banjarmasin","Suralaya","2025-12-18T09:21:24.316Z","2025-12-19T00:21:24.316Z",13467.93090638072,13657.62732239549,"CANCELLED","PT Steel Indonesia"
"cmioppm7l07bc96texem6g8uz","cmioppkcv06cc96tepg3ll8k3","Tanjung Bara","Gresik","2025-12-16T12:39:37.988Z","2025-12-17T12:39:37.988Z",9372.267032564707,9376.34658803114,"SCHEDULED","PT Petrokimia"
"cmioppm7n07be96tedcnwvnhb","cmioppkd306cd96tedw1fuuz4","Samarinda","Merak","2025-12-27T04:57:39.760Z","2025-12-27T21:57:39.760Z",11915.60709942479,11756.97784193392,"SAILING","PT Semen Indonesia"
"cmioppm7q07bg96tejvp9u4tk","cmioppkd606ce96te4hx2v8hh","Banjarmasin","Lontar","2025-12-17T18:05:03.789Z","2025-12-18T13:05:03.789Z",17070.49718367635,,"SAILING","PT Semen Indonesia"
"cmioppm7t07bi96te9lm4nz5b","cmioppkd806cf96te5nndcbxe","Tarakan","Tanjung Priok","2025-12-18T08:20:40.549Z","2025-12-19T09:20:40.549Z",8598.468831330949,,"LOADING","PT Pupuk Indonesia"
"cmioppm7z07bm96tebbjo2ytc","cmioppkdc06ch96tejt8s8dna","Kariangau","Paiton","2025-12-25T15:35:34.392Z","2025-12-26T00:35:34.392Z",6657.259350060228,6545.132657737448,"COMPLETED","PT Steel Indonesia"
"cmioppm8107bo96teqrsa5tnp","cmioppkdf06ci96teeztzamj3","Balikpapan","Paiton","2025-12-22T01:09:08.961Z","2025-12-22T07:09:08.961Z",7134.823004715886,7213.161701264681,"STANDBY","PT Petrokimia"
"cmioppm8407bq96te28p2vbvr","cmioppkdh06cj96tes5sdll5v","Kariangau","Merak","2025-12-17T10:36:52.488Z","2025-12-17T17:36:52.488Z",14768.22411409201,14393.25088424818,"SAILING","PT Steel Indonesia"
"cmioppm8707bs96teir5otqa7","cmioppkdj06ck96tedkvbpn48","Muara Pantai","Paiton","2025-12-29T05:40:38.355Z","2025-12-29T20:40:38.355Z",16830.26684780778,,"COMPLETED","PT Steel Indonesia"
"cmioppm8d07bw96te2yg4cme0","cmioppkdn06cm96te3j50vhl1","Tanjung Bara","Gresik","2025-12-15T13:10:07.307Z","2025-12-16T02:10:07.307Z",7375.528781969621,7508.256356524643,"SAILING","PT Petrokimia"
"cmioppm8f07by96teocm6ehuh","cmioppkdo06cn96teb2lcrom3","Tarakan","Gresik","2025-12-22T05:15:00.543Z","2025-12-23T02:15:00.543Z",7856.320553692029,7836.881035598563,"SAILING","PT Petrokimia"
"cmioppm8j07c296tedgq6lg97","cmioppkds06cp96tejprqb4zo","Tarakan","Tanjung Priok","2025-12-23T23:35:00.145Z","2025-12-25T02:35:00.145Z",14561.24161391516,,"SAILING","PLN"
"cmioppm8o07c496tebtfow7jj","cmioppkdt06cq96te7gebokd4","Tarakan","Lontar","2025-12-27T19:32:05.999Z","2025-12-28T13:32:05.999Z",8770.815632665383,9011.62364068219,"SCHEDULED","PT Petrokimia"
"cmioppm8r07c696tekcq3o433","cmioppkdv06cr96te7d17woje","Balikpapan","Lontar","2025-12-27T06:31:33.180Z","2025-12-27T16:31:33.180Z",17140.31626265456,17009.48264789514,"ARRIVED","PT Petrokimia"
"cmioppm8u07c896telyp8c2uw","cmioppkdx06cs96tesplsrl2q","Balikpapan","Cilacap","2025-12-15T09:22:54.366Z","2025-12-16T10:22:54.366Z",14876.60708395544,,"STANDBY","PT Semen Indonesia"
"cmioppm8x07ca96teajsyzdbd","cmioppkdz06ct96tem5x7cc86","Banjarmasin","Cilacap","2025-12-20T02:30:07.195Z","2025-12-20T21:30:07.195Z",12400.16634864621,12126.33266079816,"COMPLETED","PT Petrokimia"
"cmioppm9007cc96te9e6tdsxd","cmioppke006cu96tekd8vpics","Sangatta","Suralaya","2025-12-21T16:07:47.849Z","2025-12-21T22:07:47.849Z",16477.53166043653,15991.5910590069,"COMPLETED","PT Semen Indonesia"
"cmioppm9207ce96tet9cxzhxa","cmioppke206cv96tebic7gka5","Kariangau","Lontar","2025-12-22T18:42:03.956Z","2025-12-23T18:42:03.956Z",18900.6589039855,,"CANCELLED","PT Semen Indonesia"
"cmioppm9607cg96te1zlwe5to","cmioppke406cw96temnlgvzvp","Sangatta","Suralaya","2025-12-26T15:23:14.160Z","2025-12-27T11:23:14.160Z",7672.805842456874,,"SCHEDULED","PT Petrokimia"
"cmioppm9907ci96tepwkpi19l","cmioppke506cx96tejeptftuh","Samarinda","Cilacap","2025-12-22T13:16:29.932Z","2025-12-23T06:16:29.932Z",14447.25354954722,14697.98537677922,"ARRIVED","PT Pupuk Indonesia"
"cmioppm9b07ck96teoc0e0is6","cmioppke606cy96ter86qi81b","Tanjung Bara","Lontar","2025-12-27T19:09:02.243Z","2025-12-28T18:09:02.243Z",7504.476404073089,7359.767717976553,"DISCHARGING","PT Semen Indonesia"
"cmioppm9d07cm96te7plnuno1","cmioppke806cz96tel8xltl3w","Kariangau","Paiton","2025-12-27T04:36:56.484Z","2025-12-28T01:36:56.484Z",17072.34497719142,,"STANDBY","PT Pupuk Indonesia"
"cmioppm9f07co96tesnmez7e7","cmioppke906d096te0bvwp8x7","Balikpapan","Lontar","2025-12-17T09:14:50.393Z","2025-12-17T23:14:50.393Z",8515.308535726015,,"LOADING","PT Steel Indonesia"
"cmioppm9h07cq96tegmx8nszu","cmioppkeb06d196tevf3zyqb9","Balikpapan","Gresik","2025-12-23T12:05:13.736Z","2025-12-24T15:05:13.736Z",11095.90257558593,,"SAILING","PT Petrokimia"
"cmioppm9l07cs96te5bjwauuu","cmioppked06d296te9h4wjysx","Tarakan","Paiton","2025-12-19T19:33:45.352Z","2025-12-20T18:33:45.352Z",15791.09769145548,,"CANCELLED","PT Pupuk Indonesia"
"cmioppm9o07cu96tend7u011t","cmioppkef06d396teawzrhpz4","Tanjung Bara","Gresik","2025-12-25T11:07:12.974Z","2025-12-26T12:07:12.974Z",6582.18734903033,6282.094248576514,"ARRIVED","PT Pupuk Indonesia"
"cmioppm9q07cw96teog27knof","cmioppkei06d496tega5bvqiq","Kariangau","Paiton","2025-12-22T19:20:54.281Z","2025-12-23T17:20:54.281Z",9795.428253916094,9936.20021133407,"COMPLETED","PT Steel Indonesia"
"cmioppm9s07cy96te6k4crbbv","cmioppkek06d596tetya9obnl","Muara Pantai","Cilacap","2025-12-26T08:11:47.040Z","2025-12-27T03:11:47.040Z",14608.97129804385,,"DISCHARGING","PT Petrokimia"
"cmioppm9u07d096teiapbra9q","cmioppkem06d696te5paqfjqy","Kariangau","Cilacap","2025-12-17T10:26:58.351Z","2025-12-18T00:26:58.351Z",16151.80333152605,,"SAILING","PT Steel Indonesia"
"cmioppm9x07d296tezeauqtfh","cmioppkeo06d796tefgvknydx","Muara Pantai","Merak","2025-12-15T18:09:14.401Z","2025-12-16T09:09:14.401Z",15533.01340409645,14861.60433528581,"COMPLETED","PLN"
"cmioppm9z07d496terqupkm7i","cmioppkeq06d896te1meygqwd","Samarinda","Cilacap","2025-12-26T09:45:54.601Z","2025-12-26T21:45:54.601Z",17527.13983870696,17866.3105348998,"CANCELLED","PT Steel Indonesia"
"cmioppma207d696teqdw2cdqn","cmioppkes06d996te2bml0ym4","Samarinda","Paiton","2025-12-21T23:02:14.924Z","2025-12-22T06:02:14.924Z",7573.045631281535,7789.202032589179,"DISCHARGING","PT Semen Indonesia"
"cmioppma507d896tenzjvy9s6","cmioppkeu06da96teceemp1j7","Kariangau","Suralaya","2025-12-22T02:25:55.024Z","2025-12-23T01:25:55.024Z",10028.19319342202,9940.706850376026,"DISCHARGING","PT Steel Indonesia"
"cmioppma807da96te8d6itl1c","cmioppkex06db96tei8z3d28x","Kariangau","Suralaya","2025-12-21T21:59:40.222Z","2025-12-22T06:59:40.222Z",7776.976756320585,7435.072530675184,"ARRIVED","PT Steel Indonesia"
"cmioppmab07dc96te52yvv9m3","cmioppkf006dc96tekop3pdwh","Kariangau","Merak","2025-12-26T20:07:40.948Z","2025-12-27T03:07:40.948Z",8878.330762794447,9090.086750454957,"SCHEDULED","PT Petrokimia"
"cmioppmad07de96tetqaj7wba","cmioppkf206dd96tec76t4ev3","Samarinda","Merak","2025-12-29T16:45:26.184Z","2025-12-29T22:45:26.184Z",12976.25659073649,,"SAILING","PT Semen Indonesia"
"cmioppmag07dg96ter759prw2","cmioppkf406de96tekxe6elb7","Tarakan","Paiton","2025-12-21T06:04:02.521Z","2025-12-21T23:04:02.521Z",11056.37811764147,,"LOADING","PT Petrokimia"
"cmioppmaj07di96te2iz3bsy2","cmioppkf606df96teaiy38e3y","Tarakan","Paiton","2025-12-18T22:45:42.684Z","2025-12-19T20:45:42.684Z",18618.26269125811,19003.92419595406,"CANCELLED","PLN"
"cmioppmal07dk96te728flvrb","cmioppkf806dg96tevob8trob","Banjarmasin","Cilacap","2025-12-18T11:51:34.649Z","2025-12-18T19:51:34.649Z",10702.58924547292,,"LOADING","PT Semen Indonesia"
"cmioppmao07dm96tert2cc5vo","cmioppkf906dh96tel0mto364","Tarakan","Suralaya","2025-12-23T19:04:20.226Z","2025-12-24T20:04:20.226Z",2008.145511506286,2063.654583838308,"CANCELLED","PLN"
"cmioppmaq07do96teuox1360z","cmioppkfb06di96tecvm3icqm","Samarinda","Tanjung Priok","2025-12-24T12:00:23.079Z","2025-12-25T08:00:23.079Z",3042.934027848898,3079.507455702602,"LOADING","PT Petrokimia"
"cmioppmav07ds96te271h40ok","cmioppkff06dk96tejksy5nr4","Sangatta","Paiton","2025-12-21T08:11:11.759Z","2025-12-22T04:11:11.759Z",3101.266437371793,,"SCHEDULED","PT Petrokimia"
"cmioppmax07du96tei95atuwk","cmioppkfh06dl96tebey6e40d","Banjarmasin","Lontar","2025-12-25T15:32:40.970Z","2025-12-26T01:32:40.970Z",4524.699571791421,4589.161926358219,"ARRIVED","PT Pupuk Indonesia"
"cmioppmb007dw96tee5flrbsd","cmioppkfj06dm96tevgfd9l54","Sangatta","Lontar","2025-12-17T07:17:25.556Z","2025-12-17T13:17:25.556Z",3535.232436033275,3408.610395950533,"ARRIVED","PT Semen Indonesia"
"cmioppmb207dy96teo5p5rzp4","cmioppkfk06dn96tei2np54jb","Sangatta","Tanjung Priok","2025-12-29T00:09:33.704Z","2025-12-30T03:09:33.704Z",2679.062562726906,2715.474097306485,"SCHEDULED","PT Semen Indonesia"
"cmioppmb407e096te4d993z19","cmioppkfm06do96te0dyu1bf5","Sangatta","Gresik","2025-12-27T22:30:30.973Z","2025-12-28T15:30:30.973Z",4960.363464235186,4917.776091382506,"CANCELLED","PT Petrokimia"
"cmioppmb607e296te7nl90rn9","cmioppkfn06dp96te4476e9fa","Sangatta","Paiton","2025-12-23T23:03:48.227Z","2025-12-24T18:03:48.227Z",1801.123055090954,,"LOADING","PT Pupuk Indonesia"
"cmioppmb807e496tea32pev4m","cmioppkfp06dq96teypkpu5jk","Banjarmasin","Lontar","2025-12-28T01:34:58.317Z","2025-12-28T10:34:58.317Z",3061.559835395199,,"ARRIVED","PT Pupuk Indonesia"
"cmioppmba07e696tejm3rrcqi","cmioppkfr06dr96teyh4pdtdd","Sangatta","Cilacap","2025-12-16T23:51:22.380Z","2025-12-17T22:51:22.380Z",2478.233077879763,2535.056678061809,"SCHEDULED","PT Steel Indonesia"
"cmioppmbc07e896tecgiu65iz","cmioppkft06ds96tep88gcxht","Samarinda","Gresik","2025-12-22T16:24:21.921Z","2025-12-23T16:24:21.921Z",5254.661802834711,,"LOADING","PT Petrokimia"
"cmioppmbf07ea96tewipa7esa","cmioppkfv06dt96tesd32zrrk","Balikpapan","Cilacap","2025-12-15T12:19:17.809Z","2025-12-16T03:19:17.809Z",4622.749505389619,4550.598075501091,"ARRIVED","PT Steel Indonesia"
"cmioppmbh07ec96te529x57jk","cmioppkfx06du96tea2nda6dv","Tarakan","Gresik","2025-12-18T20:45:38.632Z","2025-12-19T04:45:38.632Z",5119.622111088503,5071.533328577293,"SCHEDULED","PLN"
"cmioppmbj07ee96te8wh9d0kv","cmioppkfz06dv96teqjym859a","Banjarmasin","Tanjung Priok","2025-12-15T13:42:32.630Z","2025-12-16T17:42:32.630Z",4431.032768013161,4510.021054962293,"LOADING","PT Semen Indonesia"
"cmioppmbl07eg96te8x9ynxbt","cmioppkg006dw96tepgh44qlu","Banjarmasin","Merak","2025-12-17T14:20:02.582Z","2025-12-18T11:20:02.582Z",5352.299205199362,5505.716500012883,"DISCHARGING","PT Petrokimia"
"cmioppmbo07ei96teodx4nk7s","cmioppkg206dx96ten74tpbgo","Samarinda","Gresik","2025-12-17T15:59:13.492Z","2025-12-18T11:59:13.492Z",4683.919798481042,,"SAILING","PT Pupuk Indonesia"
"cmioppmbq07ek96te500ghw4n","cmioppkg406dy96tezed2r2dw","Sangatta","Gresik","2025-12-24T06:27:29.949Z","2025-12-25T10:27:29.949Z",3773.022510758448,3739.632554801915,"ARRIVED","PLN"
"cmioppmbs07em96tebhx6vyzr","cmioppkg606dz96tera4kiog0","Sangatta","Lontar","2025-12-27T18:07:44.375Z","2025-12-28T02:07:44.375Z",3882.579706520588,3791.452265630857,"ARRIVED","PT Petrokimia"
"cmioppmbu07eo96te3ssdpazb","cmioppkg706e096te2z4znrrt","Sangatta","Merak","2025-12-27T06:30:43.172Z","2025-12-28T07:30:43.172Z",1866.212331505237,1804.695312072718,"SCHEDULED","PLN"
"cmioppmbw07eq96teylm65ntr","cmioppkga06e196teod560xqh","Banjarmasin","Suralaya","2025-12-28T18:02:13.805Z","2025-12-29T14:02:13.805Z",2829.883114120019,,"STANDBY","PLN"
"cmioppmby07es96teybfj0zy8","cmioppkgd06e296tev9vfxazg","Balikpapan","Gresik","2025-12-24T20:36:40.973Z","2025-12-25T20:36:40.973Z",3585.258816940958,,"STANDBY","PT Semen Indonesia"
"cmioppmc007eu96teu25zjni9","cmioppkgf06e396texungrty7","Banjarmasin","Suralaya","2025-12-23T03:08:46.848Z","2025-12-24T06:08:46.848Z",3903.957284392807,3920.662116108816,"COMPLETED","PT Steel Indonesia"
"cmioppmc207ew96tenrnkffev","cmioppkgh06e496tech6g6ijs","Balikpapan","Merak","2025-12-16T11:52:27.979Z","2025-12-17T15:52:27.979Z",3666.396364963103,3620.297622479118,"CANCELLED","PLN"
"cmioppmc407ey96te5fgj5xft","cmioppkgi06e596tef2w54ppb","Kariangau","Cilacap","2025-12-31T11:54:04.733Z","2026-01-01T07:54:04.733Z",2953.273672914754,2910.406667802434,"DISCHARGING","PT Petrokimia"
"cmioppmc607f096tehocqqeiy","cmioppkgk06e696te91q2stb6","Muara Pantai","Gresik","2025-12-29T23:03:13.752Z","2025-12-30T09:03:13.752Z",3028.311110498478,3007.00731680323,"CANCELLED","PT Petrokimia"
